Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (synonym)	EC number
P07762	reviewed	GLGB_ECOLI	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB b3432 JW3395	Escherichia coli (strain K12)	728		b3432 JW3395	glgB		2.4.1.18
P07813	reviewed	SYL_ECOLI	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS b0642 JW0637	Escherichia coli (strain K12)	860		b0642 JW0637	leuS		6.1.1.4
P08178	reviewed	PUR5_ECOLI	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM purG b2499 JW2484	Escherichia coli (strain K12)	345		b2499 JW2484	purM	purG	6.3.3.1
P08189	reviewed	FIMF_ECOLI	Protein FimF	fimF b4318 JW4281	Escherichia coli (strain K12)	176		b4318 JW4281	fimF		
P08190	reviewed	FIMG_ECOLI	Protein FimG	fimG b4319 JW4282	Escherichia coli (strain K12)	167		b4319 JW4282	fimG		
P08194	reviewed	GLPT_ECOLI	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	glpT b2240 JW2234	Escherichia coli (strain K12)	452		b2240 JW2234	glpT		
P08202	reviewed	ARAA_ECOLI	L-arabinose isomerase (EC 5.3.1.4)	araA b0062 JW0061	Escherichia coli (strain K12)	500		b0062 JW0061	araA		5.3.1.4
P08204	reviewed	ARAB_ECOLI	Ribulokinase (EC 2.7.1.16)	araB b0063 JW0062	Escherichia coli (strain K12)	566		b0063 JW0062	araB		2.7.1.16
P08331	reviewed	CPDB_ECOLI	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16)	cpdB b4213 JW4171	Escherichia coli (strain K12)	647		b4213 JW4171	cpdB		3.1.3.6; 3.1.4.16
P08365	reviewed	CHPS_ECOLI	Antitoxin ChpS	chpS chpBI yjfB b4224 JW5750	Escherichia coli (strain K12)	83		b4224 JW5750	chpS	chpBI yjfB	
P08368	reviewed	CREB_ECOLI	Transcriptional regulatory protein CreB	creB yjjE b4398 JW4361	Escherichia coli (strain K12)	229		b4398 JW4361	creB	yjjE	
P08400	reviewed	PHOR_ECOLI	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)	phoR nmpB b0400 JW0390	Escherichia coli (strain K12)	431		b0400 JW0390	phoR	nmpB	2.7.13.3
P08401	reviewed	CREC_ECOLI	Sensor protein CreC (EC 2.7.13.3)	creC phoM b4399 JW4362	Escherichia coli (strain K12)	474		b4399 JW4362	creC	phoM	2.7.13.3
P08722	reviewed	PTV3B_ECOLI	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	bglF bglC bglS b3722 JW3700	Escherichia coli (strain K12)	625		b3722 JW3700	bglF	bglC bglS	2.7.1.-
P08957	reviewed	T1MK_ECOLI	Type I restriction enzyme EcoKI methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.EcoKI) (M.EcoKI)	hsdM hsm b4349 JW4312	Escherichia coli (strain K12)	529		b4349 JW4312	hsdM	hsm	2.1.1.72
P09053	reviewed	AVTA_ECOLI	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)	avtA b3572 JW5652	Escherichia coli (strain K12)	417		b3572 JW5652	avtA		2.6.1.66
P09151	reviewed	LEU1_ECOLI	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA b0074 JW0073	Escherichia coli (strain K12)	523		b0074 JW0073	leuA		2.3.3.13
P09184	reviewed	VSR_ECOLI	DNA mismatch endonuclease Vsr (EC 3.1.-.-) (Type II nicking enzyme) (V.EcoKDcm) (Very short patch repair protein) (Vsr mismatch endonuclease)	vsr b1960 JW1943	Escherichia coli (strain K12)	156		b1960 JW1943	vsr		3.1.-.-
P09378	reviewed	RHAR_ECOLI	HTH-type transcriptional activator RhaR (L-rhamnose operon transcriptional activator RhaR)	rhaR rhaC1 b3906 JW3877	Escherichia coli (strain K12)	282		b3906 JW3877	rhaR	rhaC1	
P09549	reviewed	DEDD_ECOLI	Cell division protein DedD	dedD b2314 JW5378	Escherichia coli (strain K12)	220		b2314 JW5378	dedD		
P09551	reviewed	ARGT_ECOLI	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)	argT b2310 JW2307	Escherichia coli (strain K12)	260		b2310 JW2307	argT		
P09836	reviewed	UHPC_ECOLI	Membrane sensor protein UhpC	uhpC b3667 JW3642	Escherichia coli (strain K12)	439		b3667 JW3642	uhpC		
P0A6A6	reviewed	LEUC_ECOLI	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC b0072 JW0071	Escherichia coli (strain K12)	466		b0072 JW0071	leuC		4.2.1.33
P0A6C5	reviewed	ARGA_ECOLI	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA b2818 JW2786	Escherichia coli (strain K12)	443		b2818 JW2786	argA		2.3.1.1
P0A6E9	reviewed	BIOD2_ECOLI	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)	bioD2 ynfK b1593 JW5264	Escherichia coli (strain K12)	231		b1593 JW5264	bioD2	ynfK	6.3.3.3
P0A6I3	reviewed	COAA_ECOLI	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein)	coaA panK rts b3974 JW3942	Escherichia coli (strain K12)	316		b3974 JW3942	coaA	panK rts	2.7.1.33
P0A6I9	reviewed	COAE_ECOLI	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE yacE b0103 JW0100	Escherichia coli (strain K12)	206		b0103 JW0100	coaE	yacE	2.7.1.24
P0A6J1	reviewed	CYSC_ECOLI	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC b2750 JW2720	Escherichia coli (strain K12)	201		b2750 JW2720	cysC		2.7.1.25
P0A6J8	reviewed	DDLA_ECOLI	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	ddlA b0381 JW0372	Escherichia coli (strain K12)	364		b0381 JW0372	ddlA		6.3.2.4
P0A6L9	reviewed	HSCB_ECOLI	Co-chaperone protein HscB (Hsc20)	hscB yfhE b2527 JW2511	Escherichia coli (strain K12)	171		b2527 JW2511	hscB	yfhE	
P0A6S3	reviewed	FLGI_ECOLI	Flagellar P-ring protein (Basal body P-ring protein)	flgI fla FIX flaM b1080 JW1067	Escherichia coli (strain K12)	365		b1080 JW1067	flgI	fla FIX flaM	
P0A6T9	reviewed	GCSH_ECOLI	Glycine cleavage system H protein	gcvH b2904 JW2872	Escherichia coli (strain K12)	129		b2904 JW2872	gcvH		
P0A6U8	reviewed	GLGA_ECOLI	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA b3429 JW3392	Escherichia coli (strain K12)	477		b3429 JW3392	glgA		2.4.1.21
P0A6V5	reviewed	GLPE_ECOLI	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	glpE b3425 JW3388	Escherichia coli (strain K12)	108		b3425 JW3388	glpE		2.8.1.1
P0A6V8	reviewed	GLK_ECOLI	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk b2388 JW2385	Escherichia coli (strain K12)	321		b2388 JW2385	glk		2.7.1.2
P0A6W9	reviewed	GSH1_ECOLI	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	gshA gsh-I b2688 JW2663	Escherichia coli (strain K12)	518		b2688 JW2663	gshA	gsh-I	6.3.2.2
P0A722	reviewed	LPXA_ECOLI	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA b0181 JW0176	Escherichia coli (strain K12)	262		b0181 JW0176	lpxA		2.3.1.129
P0A734	reviewed	MINE_ECOLI	Cell division topological specificity factor	minE b1174 JW1163	Escherichia coli (strain K12)	88		b1174 JW1163	minE		
P0A752	reviewed	NADD_ECOLI	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD ybeN b0639 JW0634	Escherichia coli (strain K12)	213		b0639 JW0634	nadD	ybeN	2.7.7.18
P0A756	reviewed	KEFG_ECOLI	Glutathione-regulated potassium-efflux system ancillary protein KefG (Putative quinone oxidoreductase KefG) (EC 1.6.5.2)	kefG yheR b3351 JW3314	Escherichia coli (strain K12)	184		b3351 JW3314	kefG	yheR	1.6.5.2
P0A761	reviewed	NANE_ECOLI	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	nanE yhcJ b3223 JW3192	Escherichia coli (strain K12)	229		b3223 JW3192	nanE	yhcJ	5.1.3.9
P0A766	reviewed	RSXA_ECOLI	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Rsx electron transport complex subunit A)	rsxA rnfA ydgL b1627 JW1619	Escherichia coli (strain K12)	193		b1627 JW1619	rsxA	rnfA ydgL	7.-.-.-
P0A780	reviewed	NUSB_ECOLI	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406	Escherichia coli (strain K12)	139		b0416 JW0406	nusB	groNB ssyB	
P0A7A5	reviewed	PIMT_ECOLI	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm b2743 JW2713	Escherichia coli (strain K12)	208		b2743 JW2713	pcm		2.1.1.77
P0A7D1	reviewed	PTH_ECOLI	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth b1204 JW1195	Escherichia coli (strain K12)	194		b1204 JW1195	pth		3.1.1.29
P0A7D7	reviewed	PUR7_ECOLI	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC b2476 JW2461	Escherichia coli (strain K12)	237		b2476 JW2461	purC		6.3.2.6
P0A7F3	reviewed	PYRI_ECOLI	Aspartate carbamoyltransferase regulatory chain	pyrI b4244 JW4203	Escherichia coli (strain K12)	153		b4244 JW4203	pyrI		
P0A7H0	reviewed	RECF_ECOLI	DNA replication and repair protein RecF	recF uvrF b3700 JW3677	Escherichia coli (strain K12)	357		b3700 JW3677	recF	uvrF	
P0A7H3	reviewed	RECO_ECOLI	DNA repair protein RecO (Recombination protein O)	recO b2565 JW2549	Escherichia coli (strain K12)	242		b2565 JW2549	recO		
P0A7I0	reviewed	RF1_ECOLI	Peptide chain release factor RF1 (RF-1)	prfA sueB uar b1211 JW1202	Escherichia coli (strain K12)	360		b1211 JW1202	prfA	sueB uar	
P0A7N1	reviewed	RL31B_ECOLI	Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B)	ykgM rpmE2 b0296 JW5035	Escherichia coli (strain K12)	87		b0296 JW5035	ykgM	rpmE2	
P0A7Q1	reviewed	RL35_ECOLI	Large ribosomal subunit protein bL35 (50S ribosomal protein L35) (Ribosomal protein A)	rpmI b1717 JW1707	Escherichia coli (strain K12)	65		b1717 JW1707	rpmI		
P0A7Q6	reviewed	RL36_ECOLI	Large ribosomal subunit protein bL36A (50S ribosomal protein L36) (Ribosomal protein B)	rpmJ b3299 JW3261	Escherichia coli (strain K12)	38		b3299 JW3261	rpmJ		
P0A7Y8	reviewed	RNPA_ECOLI	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA b3704 JW3681	Escherichia coli (strain K12)	119		b3704 JW3681	rnpA		3.1.26.5
P0A805	reviewed	RRF_ECOLI	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr rrf b0172 JW0167	Escherichia coli (strain K12)	185		b0172 JW0167	frr	rrf	
P0A843	reviewed	TATE_ECOLI	Sec-independent protein translocase protein TatE	tatE ybeC b0627 JW0622	Escherichia coli (strain K12)	67		b0627 JW0622	tatE	ybeC	
P0A881	reviewed	TRPR_ECOLI	Trp operon repressor	trpR rtrY b4393 JW4356	Escherichia coli (strain K12)	108		b4393 JW4356	trpR	rtrY	
P0A8A4	reviewed	PSRP_ECOLI	Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	ppsR ydiA b1703 JW1693	Escherichia coli (strain K12)	277		b1703 JW1693	ppsR	ydiA	2.7.11.33; 2.7.4.28
P0A8A8	reviewed	RIMP_ECOLI	Ribosome maturation factor RimP	rimP yhbC b3170 JW5533	Escherichia coli (strain K12)	150		b3170 JW5533	rimP	yhbC	
P0A8B2	reviewed	SMRB_ECOLI	Ribosome rescue factor SmrB (EC 3.1.-.-)	smrB yfcN b2331 JW2328	Escherichia coli (strain K12)	183		b2331 JW2328	smrB	yfcN	3.1.-.-
P0A8E7	reviewed	YAJQ_ECOLI	UPF0234 protein YajQ	yajQ b0426 JW5058	Escherichia coli (strain K12)	163		b0426 JW5058	yajQ		
P0A8F4	reviewed	URK_ECOLI	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk b2066 JW2051	Escherichia coli (strain K12)	213		b2066 JW2051	udk		2.7.1.48
P0A8H8	reviewed	YACG_ECOLI	DNA gyrase inhibitor YacG	yacG b0101 JW5008	Escherichia coli (strain K12)	65		b0101 JW5008	yacG		
P0A8P1	reviewed	LFTR_ECOLI	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	aat ycaA b0885 JW0868	Escherichia coli (strain K12)	234		b0885 JW0868	aat	ycaA	2.3.2.6
P0A8Q6	reviewed	CLPS_ECOLI	ATP-dependent Clp protease adapter protein ClpS	clpS yljA b0881 JW0865	Escherichia coli (strain K12)	106		b0881 JW0865	clpS	yljA	
P0A8T1	reviewed	PRMA_ECOLI	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA yhdI b3259 JW3227	Escherichia coli (strain K12)	293		b3259 JW3227	prmA	yhdI	2.1.1.-
P0A8U6	reviewed	METJ_ECOLI	Met repressor (Met regulon regulatory protein MetJ)	metJ b3938 JW3909	Escherichia coli (strain K12)	105		b3938 JW3909	metJ		
P0A8W2	reviewed	SLYA_ECOLI	Transcriptional regulator SlyA	slyA b1642 JW5267	Escherichia coli (strain K12)	144		b1642 JW5267	slyA		
P0A8Z3	reviewed	YBGC_ECOLI	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)	ybgC b0736 JW0726	Escherichia coli (strain K12)	134		b0736 JW0726	ybgC		3.1.2.-
P0A908	reviewed	MIPA_ECOLI	MltA-interacting protein	mipA yeaF b1782 JW1771	Escherichia coli (strain K12)	248		b1782 JW1771	mipA	yeaF	
P0A927	reviewed	TSX_ECOLI	Nucleoside-specific channel-forming protein Tsx	tsx nupA b0411 JW0401	Escherichia coli (strain K12)	294		b0411 JW0401	tsx	nupA	
P0A996	reviewed	GLPC_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)	glpC b2243 JW2237	Escherichia coli (strain K12)	396		b2243 JW2237	glpC		
P0A9C3	reviewed	GALM_ECOLI	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)	galM b0756 JW0739	Escherichia coli (strain K12)	346		b0756 JW0739	galM		5.1.3.3
P0A9D4	reviewed	CYSE_ECOLI	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE b3607 JW3582	Escherichia coli (strain K12)	273		b3607 JW3582	cysE		2.3.1.30
P0A9E2	reviewed	SOXS_ECOLI	Regulatory protein SoxS	soxS b4062 JW4023	Escherichia coli (strain K12)	107		b4062 JW4023	soxS		
P0A9F1	reviewed	MNTR_ECOLI	Transcriptional regulator MntR (Manganese transport regulator)	mntR ybiQ b0817 JW0801	Escherichia coli (strain K12)	155		b0817 JW0801	mntR	ybiQ	
P0A9F3	reviewed	CYSB_ECOLI	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB b1275 JW1267	Escherichia coli (strain K12)	324		b1275 JW1267	cysB		
P0A9H1	reviewed	MUG_ECOLI	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)	mug ygjF b3068 JW3040	Escherichia coli (strain K12)	168		b3068 JW3040	mug	ygjF	3.2.2.28
P0A9H5	reviewed	BTUR_ECOLI	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)	btuR cobA b1270 JW1262	Escherichia coli (strain K12)	196		b1270 JW1262	btuR	cobA	2.5.1.17
P0A9I1	reviewed	CITE_ECOLI	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)	citE ybdW b0616 JW0608	Escherichia coli (strain K12)	302		b0616 JW0608	citE	ybdW	4.1.3.34; 4.1.3.6
P0A9I5	reviewed	NAPD_ECOLI	Chaperone NapD (NapA signal peptide-binding chaperone NapD)	napD yojF b2207 JW2195	Escherichia coli (strain K12)	87		b2207 JW2195	napD	yojF	
P0A9L5	reviewed	PPIC_ECOLI	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C)	ppiC parVA b3775 JW3748	Escherichia coli (strain K12)	93		b3775 JW3748	ppiC	parVA	5.2.1.8
P0A9L8	reviewed	P5CR_ECOLI	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC b0386 JW0377	Escherichia coli (strain K12)	269		b0386 JW0377	proC		1.5.1.2
P0A9P9	reviewed	IDNO_ECOLI	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	idnO yjgU b4266 JW4223	Escherichia coli (strain K12)	254		b4266 JW4223	idnO	yjgU	1.1.1.69
P0A9S3	reviewed	GATD_ECOLI	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)	gatD b2091 JW2075	Escherichia coli (strain K12)	346		b2091 JW2075	gatD		1.1.1.251
P0A9U1	reviewed	YBHF_ECOLI	Probable multidrug ABC transporter ATP-binding protein YbhF	ybhF b0794 JW5104	Escherichia coli (strain K12)	578		b0794 JW5104	ybhF		
P0A9W0	reviewed	ULAR_ECOLI	HTH-type transcriptional regulator UlaR	ulaR yjfQ b4191 JW4149	Escherichia coli (strain K12)	251		b4191 JW4149	ulaR	yjfQ	
P0A9W6	reviewed	IBAG_ECOLI	Acid stress protein IbaG	ibaG yrbA b3190 JW3157	Escherichia coli (strain K12)	84		b3190 JW3157	ibaG	yrbA	
P0A9X1	reviewed	ZNUC_ECOLI	Zinc import ATP-binding protein ZnuC (EC 7.2.2.20)	znuC yebM b1858 JW1847	Escherichia coli (strain K12)	251		b1858 JW1847	znuC	yebM	7.2.2.20
P0AA39	reviewed	RLUC_ECOLI	Ribosomal large subunit pseudouridine synthase C (EC 5.4.99.24) (23S rRNA pseudouridine(955/2504/2580) synthase) (rRNA pseudouridylate synthase C) (rRNA-uridine isomerase C)	rluC yceC b1086 JW1072	Escherichia coli (strain K12)	319		b1086 JW1072	rluC	yceC	5.4.99.24
P0AA53	reviewed	QMCA_ECOLI	Protein QmcA	qmcA ybbK b0489 JW0478	Escherichia coli (strain K12)	305		b0489 JW0478	qmcA	ybbK	
P0AA60	reviewed	YGHB_ECOLI	Inner membrane protein YghB	yghB b3009 JW2976	Escherichia coli (strain K12)	219		b3009 JW2976	yghB		
P0AA63	reviewed	YQJA_ECOLI	Inner membrane protein YqjA	yqjA b3095 JW3066	Escherichia coli (strain K12)	220		b3095 JW3066	yqjA		
P0AA67	reviewed	RHTA_ECOLI	Threonine/homoserine exporter RhtA	rhtA ybiF b0813 JW0798	Escherichia coli (strain K12)	295		b0813 JW0798	rhtA	ybiF	
P0AA80	reviewed	GARP_ECOLI	Probable galactarate/D-glucarate transporter GarP	garP yhaU b3127 JW3096	Escherichia coli (strain K12)	444		b3127 JW3096	garP	yhaU	
P0AA86	reviewed	DSBE_ECOLI	Thiol:disulfide interchange protein DsbE (Cytochrome c biogenesis protein CcmG)	dsbE ccmG yejQ b2195 JW2183	Escherichia coli (strain K12)	185		b2195 JW2183	dsbE	ccmG yejQ	
P0AAA7	reviewed	WZXE_ECOLI	Lipid III flippase	wzxE wzx yifJ b3792 JW3766	Escherichia coli (strain K12)	416		b3792 JW3766	wzxE	wzx yifJ	
P0AAC0	reviewed	USPE_ECOLI	Universal stress protein E	uspE ydaA b1333 JW1327	Escherichia coli (strain K12)	316		b1333 JW1327	uspE	ydaA	
P0AAD2	reviewed	MTR_ECOLI	Tryptophan-specific transport protein (Tryptophan permease)	mtr b3161 JW3130	Escherichia coli (strain K12)	414		b3161 JW3130	mtr		
P0AAD4	reviewed	TYRP_ECOLI	Tyrosine-specific transport system (Tyrosine permease) (Tyrosine:H(+) symporter)	tyrP b1907 JW1895	Escherichia coli (strain K12)	403		b1907 JW1895	tyrP		
P0AAF3	reviewed	ARAG_ECOLI	Arabinose import ATP-binding protein AraG (EC 7.5.2.12)	araG b1900 JW1888	Escherichia coli (strain K12)	504		b1900 JW1888	araG		7.5.2.12
P0AAF6	reviewed	ARTP_ECOLI	Arginine transport ATP-binding protein ArtP (EC 7.4.2.1)	artP b0864 JW0848	Escherichia coli (strain K12)	242		b0864 JW0848	artP		7.4.2.1
P0AAG5	reviewed	MDLB_ECOLI	Multidrug resistance-like ATP-binding protein MdlB (EC 7.6.2.2)	mdlB mdl b0449 JW5061	Escherichia coli (strain K12)	593		b0449 JW5061	mdlB	mdl	7.6.2.2
P0AAG8	reviewed	MGLA_ECOLI	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)	mglA b2149 JW2136	Escherichia coli (strain K12)	506		b2149 JW2136	mglA		7.5.2.11
P0AAH8	reviewed	SAPF_ECOLI	Putrescine export system ATP-binding protein SapF	sapF b1290 JW1283	Escherichia coli (strain K12)	268		b1290 JW1283	sapF		
P0AAJ8	reviewed	HYBA_ECOLI	Hydrogenase-2 operon protein HybA	hybA b2996 JW2964	Escherichia coli (strain K12)	328		b2996 JW2964	hybA		
P0AAK1	reviewed	HYCB_ECOLI	Formate hydrogenlyase subunit 2 (FHL subunit 2) (Hydrogenase-3 component B)	hycB hevB b2724 JW2694	Escherichia coli (strain K12)	203		b2724 JW2694	hycB	hevB	
P0AAL0	reviewed	NAPF_ECOLI	Ferredoxin-type protein NapF	napF yojG b2208 JW2196	Escherichia coli (strain K12)	164		b2208 JW2196	napF	yojG	
P0AAL3	reviewed	NAPG_ECOLI	Ferredoxin-type protein NapG (Ubiquinol--[NapC cytochrome c] reductase NapG subunit)	napG yojA yojB b2205 JW2193	Escherichia coli (strain K12)	231		b2205 JW2193	napG	yojA yojB	
P0AAN9	reviewed	IRAP_ECOLI	Anti-adapter protein IraP	iraP yaiB b0382 JW0373	Escherichia coli (strain K12)	86		b0382 JW0373	iraP	yaiB	
P0AAP1	reviewed	DGCC_ECOLI	Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65)	dgcC adrA yaiC b0385 JW0376	Escherichia coli (strain K12)	371		b0385 JW0376	dgcC	adrA yaiC	2.7.7.65
P0AAS5	reviewed	ALLH_ECOLI	Oxamate carbamoyltransferase subunit AllH (OXTCase subunit AllH) (EC 2.1.3.5) (Oxamic transcarbamylase subunit AllH)	allH ylbF b0520 JW0509	Escherichia coli (strain K12)	271		b0520 JW0509	allH	ylbF	2.1.3.5
P0AAT4	reviewed	YBDG_ECOLI	Miniconductance mechanosensitive channel YbdG	ybdG mscM b0577 JW0566	Escherichia coli (strain K12)	415		b0577 JW0566	ybdG	mscM	
P0AB10	reviewed	PQIC_ECOLI	Intermembrane transport lipoprotein PqiC	pqiC ymbA b0952 JW5127	Escherichia coli (strain K12)	187		b0952 JW5127	pqiC	ymbA	
P0AB18	reviewed	TUSE_ECOLI	Sulfurtransferase TusE (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein E)	tusE yccK b0969 JW0952	Escherichia coli (strain K12)	109		b0969 JW0952	tusE	yccK	2.8.1.-
P0AB24	reviewed	EFEO_ECOLI	Iron uptake system component EfeO	efeO ycdO b1018 JW1003	Escherichia coli (strain K12)	375		b1018 JW1003	efeO	ycdO	
P0AB40	reviewed	BHSA_ECOLI	Multiple stress resistance protein BhsA (Copper-induced outer membrane component)	bhsA comC ycfR b1112 JW1098	Escherichia coli (strain K12)	85		b1112 JW1098	bhsA	comC ycfR	
P0AB65	reviewed	ACYP_ECOLI	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	yccX b0968 JW5131	Escherichia coli (strain K12)	92		b0968 JW5131	yccX		3.6.1.7
P0AB67	reviewed	PNTB_ECOLI	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB b1602 JW1594	Escherichia coli (strain K12)	462		b1602 JW1594	pntB		7.1.1.1
P0AB85	reviewed	APBE_ECOLI	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE yojK yojL b2214 JW5368	Escherichia coli (strain K12)	351		b2214 JW5368	apbE	yojK yojL	2.7.1.180
P0AB93	reviewed	ARSB_ECOLI	Arsenical pump membrane protein (Arsenic efflux pump protein)	arsB arsF b3502 JW3469	Escherichia coli (strain K12)	429		b3502 JW3469	arsB	arsF	
P0ABA0	reviewed	ATPF_ECOLI	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF papF uncF b3736 JW3714	Escherichia coli (strain K12)	156		b3736 JW3714	atpF	papF uncF	
P0ABC9	reviewed	BETT_ECOLI	High-affinity choline transport protein	betT b0314 JW0306	Escherichia coli (strain K12)	677		b0314 JW0306	betT		
P0ABE9	reviewed	CYNT_ECOLI	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	cynT b0339 JW0330	Escherichia coli (strain K12)	219		b0339 JW0330	cynT		4.2.1.1
