Gene Ontology (GO),NAME
biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity [GO:0004078],YDL141W
biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity [GO:0004079],YDL141W
biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity [GO:0004080],YDL141W
biotin-[pyruvate-carboxylase] ligase activity [GO:0071734],YDL141W
bis(5'-adenosyl)-hexaphosphatase activity [GO:0034431],YOR163W
bis(5'-adenosyl)-pentaphosphatase activity [GO:0034432],YOR163W
bis(5'-adenosyl)-triphosphatase activity [GO:0047710],YDR305C
bis(5'-nucleosyl)-tetraphosphatase activity [GO:0008796],YCL050C;YDR530C
borate efflux transmembrane transporter activity [GO:0080139],YNL275W
borate transport [GO:0046713],YNL275W
branched-chain amino acid biosynthetic process [GO:0009082],YCL009C;YHR208W;YJR016C;YJR148W;YLR355C;YMR108W
branched-chain amino acid catabolic process [GO:0009083],YDL080C;YGR087C;YHR208W;YJR148W;YLR044C;YLR134W
branched-chain amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000950],YDR380W
branched-chain-2-oxoacid decarboxylase activity [GO:0047433],YDL080C;YDR380W;YGR087C;YLR044C;YLR134W
branched-chain-amino-acid transaminase activity [GO:0004084],YHR208W;YJR148W
brassicasterol glucosyltransferase activity [GO:0102203],YLR189C
budding cell bud growth [GO:0007117],YPR165W
butanediol biosynthetic process [GO:0034079],YAL060W;YAL061W
butanol dehydrogenase activity [GO:1990362],YMR083W;YMR303C;YOL086C
cAMP biosynthetic process [GO:0006171],YJL005W
cAMP catabolic process [GO:0006198],YGL248W
cAMP-mediated signaling [GO:0019933],YOR360C
cadmium ion transmembrane transporter activity [GO:0015086],YLL015W;YOL122C
cadmium ion transport [GO:0015691],YBR295W;YLL015W;YOL122C
calcium ion binding [GO:0005509],YBR001C;YDR001C;YDR373W;YGL167C;YJR131W;YLR057W;YPL268W
calcium ion transmembrane transport [GO:0070588],YGL167C
calcium ion transport [GO:0006816],YBR235W;YGL006W;YGL167C;YLL048C
calcium-independent phospholipase A2 activity [GO:0047499],YKR089C
calcium-mediated signaling [GO:0019722],YDR294C;YJL134W;YLR260W;YOR171C
calmodulin binding [GO:0005516],YJL012C
canonical glycolysis [GO:0061621],YGR240C;YMR205C
carbamoyl-phosphate synthase (ammonia) activity [GO:0004087],YJL130C;YJR109C
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088],YJL130C;YJR109C;YOR303W
carbamoyl-phosphate synthase complex [GO:0005951],YJR109C;YOR303W
carbohydrate binding [GO:0030246],YBR019C;YBR229C;YGL156W;YMR099C;YPR026W
carbohydrate derivative binding [GO:0097367],YBR196C;YKL104C
carbohydrate metabolic process [GO:0005975],YBR126C;YBR149W;YCR005C;YDL022W;YDL236W;YEL058W;YER003C;YER062C;YGR043C;YGR248W;YGR282C;YHR163W;YJL121C;YJR131W;YKL127W;YKR043C;YLR057W;YLR189C;YLR354C;YMR099C;YMR105C;YNR001C;YPR001W
carbohydrate phosphorylation [GO:0046835],YBR020W;YCL040W;YDR109C;YDR516C;YFR053C;YGL253W;YLR446W
carbohydrate transport [GO:0008643],YBR298C;YDL245C;YDL247W;YDR342C;YDR343C;YDR345C;YDR387C;YEL004W;YEL069C;YFL011W;YGL225W;YGR289C;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YJR160C;YLR081W;YMR011W;YNL318C;YNR072W;YOL156W;YPL244C
carbohydrate:proton symporter activity [GO:0005351],YBR298C;YDL245C;YDL247W;YDR342C;YDR343C;YDR345C;YDR536W;YEL069C;YFL011W;YGR289C;YHR092C;YHR094C;YHR096C;YJL214W;YJL219W;YJR158W;YJR160C;YLR081W;YMR011W;YNL318C;YNR072W;YOL156W
carbon utilization [GO:0015976],YNL036W;YPR026W
carbon-sulfur lyase activity [GO:0016846],YGL184C;YML082W
carbonate dehydratase activity [GO:0004089],YNL036W
carbonyl reductase (NADPH) activity [GO:0004090],YDR368W;YMR226C
carboxy-lyase activity [GO:0016831],YDR380W;YDR538W;YDR539W
carboxyl- or carbamoyltransferase activity [GO:0016743],YNR016C
carboxylate reductase activity [GO:0047770],YMR110C
carboxylic acid metabolic process [GO:0019752],YDR294C;YMR289W
carboxylic acid transmembrane transporter activity [GO:0046943],YGR260W
carboxylic acid transport [GO:0046942],YGR260W
carboxylic ester hydrolase activity [GO:0052689],YGR015C;YJL068C;YJR019C
cardiolipin acyl-chain remodeling [GO:0035965],YGR110W;YLR099C;YPR140W
cardiolipin biosynthetic process [GO:0032049],YCL004W;YDL142C;YGR046W;YHR100C
cardiolipin metabolic process [GO:0032048],YGR110W;YPR140W
cardiolipin synthase (CMP-forming) [GO:0043337],YDL142C
carnitine O-acetyltransferase activity [GO:0004092],YAR035W;YER024W;YML042W
carnitine O-palmitoyltransferase activity [GO:0004095],YAR035W
carnitine metabolic process [GO:0009437],YAR035W;YER024W;YML042W
carnitine transmembrane transport [GO:1902603],YOR100C
carnitine:acyl carnitine antiporter activity [GO:0005476],YOR100C
carnosine N-methyltransferase activity [GO:0030735],YNL092W
carnosine metabolic process [GO:0035498],YNL092W
catalase activity [GO:0004096],YDR256C;YGR088W
catalytic activity [GO:0003824],YDR403W;YKL088W;YKR072C;YML100W;YMR261C;YOL020W;YOR054C
cell budding [GO:0007114],YKR089C;YMR313C
cell cortex [GO:0005938],YJL012C
cell cycle [GO:0007049],YDL055C;YEL029C;YNR027W;YOR054C
cell morphogenesis involved in conjugation with cellular fusion [GO:0000753],YKR031C
cell periphery [GO:0071944],YAR071W;YBL042C;YBR021W;YBR023C;YBR038W;YBR041W;YBR069C;YBR093C;YBR180W;YBR298C;YCR028C;YCR037C;YCR098C;YDL024C;YDL245C;YDL247W;YDR038C;YDR040C;YDR093W;YDR342C;YDR343C;YDR345C;YDR384C;YDR497C;YDR508C;YDR536W;YEL017C-A;YER019W;YER056C;YER060W-A;YFL011W;YFL054C;YFR021W;YGL077C;YGL255W;YGR032W;YGR055W;YGR065C;YGR138C;YGR157W;YGR191W;YGR227W;YGR260W;YHL016C;YHR092C;YHR094C;YHR096C;YIL013C;YIL162W;YIL166C;YIR038C;YJL012C;YJL129C;YJL198W;YJL214W;YJL219W;YJR073C;YJR137C;YJR152W;YJR158W;YJR160C;YKL094W;YKL217W;YKR093W;YLL028W;YLL043W;YLL061W;YLR020C;YLR081W;YLR160C;YLR237W;YLR342W;YMR006C;YMR008C;YMR011W;YMR251W;YMR319C;YNL065W;YNL192W;YNL275W;YNL318C;YNR050C;YNR072W;YOL075C;YOL103W;YOL130W;YOL156W;YOR011W;YOR161C;YOR171C;YOR192C;YOR273C;YPL036W;YPL092W;YPL234C;YPL265W;YPR026W;YPR156C;YPR165W;YPR183W
cell redox homeostasis [GO:0045454],YBL064C;YDR135C;YDR353W;YDR453C;YGR209C;YHR106W;YIL010W;YLR043C;YLR109W;YPL091W
cell septum [GO:0030428],YBR023C;YBR038W;YNL192W;YNR067C
cell surface [GO:0009986],YGR282C;YLR300W;YNR067C;YOR190W
cell volume homeostasis [GO:0006884],YBR235W
cell wall chitin biosynthetic process [GO:0006038],YBR023C;YBR038W;YNL192W
cell wall mannoprotein biosynthetic process [GO:0000032],YBR199W;YBR205W;YCL005W-A;YDL055C;YDR483W;YER003C;YJL139C;YKR061W;YLR020C;YNL029C;YOR099W;YPL053C
cell wall organization [GO:0071555],YBR038W;YEL058W;YGR282C;YJR153W;YKL165C;YKR076W;YLL031C;YLR286C;YNL192W;YNR067C;YOR190W
cell wall-bounded periplasmic space [GO:0030287],YBR092C;YLR155C;YLR157C;YLR158C;YLR160C;YPR026W
cellular aldehyde metabolic process [GO:0006081],YCR107W;YDL243C;YJR155W;YMR110C;YMR318C;YNL331C;YOL165C;YPL088W
cellular bud [GO:0005933],YLR342W;YPR165W
cellular bud membrane [GO:0033101],YDR373W;YLL028W
cellular bud neck [GO:0005935],YBR023C;YBR038W;YDR093W;YDR508C;YGR032W;YLR286C;YLR342W;YNR067C;YPR159W;YPR165W
cellular bud neck septin ring organization [GO:0032186],YPR165W
cellular bud tip [GO:0005934],YLR342W;YPR165W
cellular detoxification of nitrogen compound [GO:0070458],YEL066W
cellular hyperosmotic response [GO:0071474],YOR270C
cellular lipid metabolic process [GO:0044255],YBR177C;YGR015C;YKL140W;YMR313C;YNL045W
cellular modified amino acid catabolic process [GO:0042219],YKL218C
cellular nitrogen compound biosynthetic process [GO:0044271],YPR021C
cellular respiration [GO:0045333],Q0045;Q0105;Q0275;YBL045C;YDR178W;YDR529C;YEL024W;YFR033C;YGR183C;YHR001W-A;YJL045W;YJL166W;YKL141W;YKL148C;YLL041C;YLR038C;YMR256C;YOR065W;YPR191W
cellular response to alkaline pH [GO:0071469],YOR270C
cellular response to anoxia [GO:0071454],YEL047C
cellular response to carbon dioxide [GO:0071244],YNL036W
cellular response to desiccation [GO:0071465],YBR126C;YDR001C
cellular response to glucose starvation [GO:0042149],YDR040C
cellular response to heat [GO:0034605],YBR126C;YDR074W
cellular response to iron ion starvation [GO:0010106],YMR058W
cellular response to misfolded protein [GO:0071218],YGR234W
cellular response to nitrogen starvation [GO:0006995],YLR155C;YLR157C;YLR158C;YLR160C;YPL120W
cellular response to nitrosative stress [GO:0071500],YGR234W
cellular response to nutrient levels [GO:0031669],YDR533C;YMR322C;YOR391C;YPL280W
cellular response to osmotic stress [GO:0071470],YHR104W
cellular response to oxidative stress [GO:0034599],YBL064C;YBR006W;YBR046C;YBR244W;YCL035C;YCR083W;YDL166C;YDR353W;YDR368W;YDR453C;YDR513W;YDR533C;YDR538W;YER042W;YER174C;YGR043C;YGR234W;YHR104W;YHR106W;YHR183W;YIL010W;YIR037W;YKL026C;YKL069W;YKL150W;YKR066C;YLR011W;YLR109W;YML086C;YMR250W;YNL036W;YOR120W;YPL059W;YPL091W;YPL188W
cellular response to phosphate starvation [GO:0016036],YBR093C;YER037W
cellular response to reactive nitrogen species [GO:1902170],YGR234W
cellular response to starvation [GO:0009267],YDR294C;YOL068C
ceramide biosynthetic process [GO:0046513],YBR183W;YDR062W;YER019W;YHL003C;YKL008C;YMR272C;YMR296C;YMR298W;YPL087W
ceramide catabolic process [GO:0046514],YBR183W;YPL087W
ceramide metabolic process [GO:0006672],YGR038W;YLR350W;YNR008W;YOR245C
chaperone-mediated protein folding [GO:0061077],YDR533C;YOR391C;YPL280W
chitin binding [GO:0008061],YDR371W;YGR282C;YLR286C;YLR307W;YLR308W
chitin biosynthetic process [GO:0006031],YBR038W
chitin catabolic process [GO:0006032],YDR371W;YLR286C;YLR307W;YLR308W
chitin deacetylase activity [GO:0004099],YLR307W;YLR308W
chitin synthase activity [GO:0004100],YBR023C;YBR038W;YNL192W
chitinase activity [GO:0004568],YDR371W;YLR286C
chitobiosyldiphosphodolichol beta-mannosyltransferase activity [GO:0004578],YBR110W
chitosome [GO:0045009],YBR023C;YNL192W
chloride channel complex [GO:0034707],YJR040W
chloride ion homeostasis [GO:0055064],YBR235W
chloride transmembrane transport [GO:1902476],YBR235W
cholesterol alpha-glucosyltransferase activity [GO:0102205],YLR189C
choline kinase activity [GO:0004103],YDR147W;YLR133W
choline transmembrane transporter activity [GO:0015220],YGL077C
choline transport [GO:0015871],YGL077C
choline-phosphate cytidylyltransferase activity [GO:0004105],YGR202C
chorismate biosynthetic process [GO:0009423],YBR249C;YDR035W;YDR127W;YGL148W
chorismate metabolic process [GO:0046417],YPR060C
chorismate mutase activity [GO:0004106],YNL316C;YPR060C
chorismate synthase activity [GO:0004107],YGL148W
chromatin [GO:0000785],YHR216W;YJL168C;YKR072C
chromatin binding [GO:0003682],YHR216W;YMR020W
chromatin organization [GO:0006325],YDL042C;YDR071C
chromatin silencing complex [GO:0005677],YDL042C
"chromosome, centromeric region [GO:0000775]",YPL268W
"chromosome, telomeric region [GO:0000781]",YDL042C;YDR191W;YDR440W;YGL037C;YGL169W;YHR119W;YIL010W;YOR025W;YOR209C
cinnamic acid catabolic process [GO:0046281],YDR538W;YDR539W
cinnamyl-alcohol dehydrogenase activity [GO:0045551],YCR105W;YMR318C
cis-Golgi network [GO:0005801],YEL031W
citrate (Si)-synthase activity [GO:0004108],YCR005C;YNR001C;YPR001W
citrate metabolic process [GO:0006101],YCR005C;YNR001C
citrate secondary active transmembrane transporter activity [GO:0071913],YBR291C
citrate synthase activity [GO:0036440],YNR001C
citrulline biosynthetic process [GO:0019240],YJL088W;YJL130C;YJR109C
cobalt ion binding [GO:0050897],YIR027C;YLR308W
cobalt ion transmembrane transporter activity [GO:0015087],YOR316C
cobalt ion transport [GO:0006824],YOR316C
coenzyme A biosynthetic process [GO:0015937],YDR196C;YDR531W;YGR277C;YIL083C;YKL088W;YKR072C;YOR054C
coenzyme A catabolic process [GO:0015938],YLR151C
coenzyme A diphosphatase activity [GO:0010945],YLR151C
coenzyme A metabolic process [GO:0015936],YLR450W;YML075C
coenzyme A transmembrane transporter activity [GO:0015228],YHR002W
coenzyme A transport [GO:0015880],YHR002W
conjugation with cellular fusion [GO:0000747],YLL043W
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA [GO:0071951],YBL013W
copper ion binding [GO:0005507],Q0250;YBR295W;YDR270W;YJR104C;YLL018C-A;YMR058W;YPL132W
copper ion export [GO:0060003],YDR270W
copper ion homeostasis [GO:0055070],YDR270W
copper ion import [GO:0015677],YKL220C;YLL051C;YLR214W;YMR319C;YNR060W;YOL152W;YOR381W;YOR384W
copper ion transmembrane transport [GO:0035434],YER053C
copper ion transmembrane transporter activity [GO:0005375],YER053C;YMR319C
copper ion transport [GO:0006825],YDR270W;YOL122C
coproporphyrinogen oxidase activity [GO:0004109],YDR044W
cortical actin cytoskeleton organization [GO:0030866],YDR208W;YLR305C
cortical endoplasmic reticulum [GO:0032541],YBR183W;YDR294C;YKL212W;YOR171C
cristae formation [GO:0042407],YDR322C-A;YLR295C;YPR020W
cyanamide hydratase activity [GO:0018820],YFL061W;YNL335W
cyanamide metabolic process [GO:0018890],YFL061W;YNL335W
cyclic nucleotide metabolic process [GO:0009187],YGR247W
cyclohydrolase activity [GO:0019238],YBL033C
cystathionine beta-lyase activity [GO:0004121],YFR055W;YGL184C
cystathionine beta-synthase activity [GO:0004122],YGR155W
cystathionine gamma-lyase activity [GO:0004123],YAL012W
cystathionine gamma-synthase activity (acts on O-phosphohomoserine) [GO:0102028],YJR130C;YLL058W;YML082W
cystathionine gamma-synthase activity [GO:0003962],YJR130C;YLL058W;YML082W
cysteine biosynthetic process [GO:0019344],YAL012W;YKL001C;YLR303W;YPR167C
cysteine biosynthetic process from serine [GO:0006535],YGR012W;YGR155W
cysteine biosynthetic process via cystathionine [GO:0019343],YAL012W;YGR155W
cysteine desulfurase activity [GO:0031071],YCL017C
cysteine synthase activity [GO:0004124],YGR012W;YLL058W;YLR303W
cysteine transport [GO:0042883],YGR055W
cysteine-S-conjugate beta-lyase activity [GO:0047804],YAL012W;YFR055W;YGL184C
cysteine-tRNA ligase activity [GO:0004817],YNL247W
cysteinyl-tRNA aminoacylation [GO:0006423],YNL247W
cytidine catabolic process [GO:0006216],YDR400W;YLR245C
cytidine deaminase activity [GO:0004126],YLR245C
cytidine deamination [GO:0009972],YLR245C
cytidine kinase activity [GO:0043771],YDR020C;YNR012W
cytidine metabolic process [GO:0046087],YPR062W
cytidine transmembrane transporter activity [GO:0015212],YER056C
cytidine transport [GO:0015861],YER056C
cytidylate kinase activity [GO:0004127],YKL024C
cytochrome c-heme linkage [GO:0018063],YAL039C;YKL087C
"cytochrome-b5 reductase activity, acting on NAD(P)H [GO:0004128]",YIL043C;YKL150W;YML125C
cytochrome-c oxidase activity [GO:0004129],Q0045;Q0250;Q0275
cytochrome-c peroxidase activity [GO:0004130],YKR066C
cytoophidium [GO:0097268],YBL039C;YJR103W
cytoplasm [GO:0005737],YAL012W;YAL035W;YAL038W;YAL044C;YAL060W;YAL061W;YAR015W;YBL033C;YBL039C;YBL068W;YBL091C;YBR001C;YBR006W;YBR011C;YBR018C;YBR020W;YBR023C;YBR046C;YBR111C;YBR115C;YBR117C;YBR121C;YBR126C;YBR127C;YBR145W;YBR166C;YBR205W;YBR208C;YBR218C;YBR222C;YBR242W;YBR244W;YBR248C;YBR249C;YBR252W;YBR263W;YBR265W;YBR281C;YCL030C;YCL035C;YCL047C;YCL050C;YCR005C;YCR011C;YCR012W;YCR036W;YCR053W;YDL040C;YDL045C;YDL055C;YDL078C;YDL103C;YDL141W;YDL166C;YDL168W;YDL205C;YDL219W;YDL236W;YDL238C;YDR001C;YDR007W;YDR009W;YDR017C;YDR020C;YDR023W;YDR035W;YDR037W;YDR044W;YDR047W;YDR050C;YDR051C;YDR071C;YDR098C;YDR109C;YDR111C;YDR127W;YDR147W;YDR158W;YDR173C;YDR191W;YDR226W;YDR248C;YDR256C;YDR261C;YDR272W;YDR300C;YDR305C;YDR321W;YDR354W;YDR367W;YDR368W;YDR371W;YDR380W;YDR399W;YDR400W;YDR408C;YDR441C;YDR453C;YDR454C;YDR513W;YDR516C;YDR530C;YDR531W;YDR533C;YDR539W;YEL038W;YEL058W;YEL066W;YEL071W;YER003C;YER023W;YER024W;YER037W;YER042W;YER043C;YER052C;YER055C;YER062C;YER065C;YER070W;YER081W;YER090W;YER091C;YER099C;YER152C;YER163C;YER170W;YER174C;YFL001W;YFL017C;YFL022C;YFR015C;YFR025C;YFR030W;YFR044C;YFR047C;YFR053C;YGL017W;YGL026C;YGL037C;YGL040C;YGL047W;YGL062W;YGL067W;YGL101W;YGL148W;YGL154C;YGL169W;YGL184C;YGL202W;YGL234W;YGL245W;YGR007W;YGR012W;YGR043C;YGR061C;YGR087C;YGR088W;YGR094W;YGR124W;YGR154C;YGR155W;YGR177C;YGR180C;YGR185C;YGR192C;YGR194C;YGR204W;YGR208W;YGR209C;YGR234W;YGR240C;YGR248W;YGR254W;YGR264C;YGR267C;YGR277C;YHL011C;YHL012W;YHL032C;YHR011W;YHR019C;YHR020W;YHR043C;YHR046C;YHR063C;YHR068W;YHR074W;YHR104W;YHR116W;YHR128W;YHR137W;YHR144C;YHR163W;YHR183W;YHR201C;YHR216W;YIL002C;YIL010W;YIL020C;YIL053W;YIL066C;YIL074C;YIL078W;YIL083C;YIL107C;YIL116W;YIL124W;YIL145C;YIL162W;YIL172C;YIR027C;YIR031C;YIR034C;YIR036C;YJL026W;YJL046W;YJL060W;YJL100W;YJL101C;YJL130C;YJL137C;YJL153C;YJL155C;YJL167W;YJR009C;YJR010W;YJR024C;YJR025C;YJR049C;YJR057W;YJR069C;YJR078W;YJR103W;YJR105W;YJR109C;YJR110W;YJR130C;YJR133W;YJR137C;YJR139C;YJR148W;YJR149W;YKL001C;YKL019W;YKL024C;YKL035W;YKL060C;YKL069W;YKL085W;YKL088W;YKL094W;YKL103C;YKL127W;YKL132C;YKL181W;YKL182W;YKL184W;YKL211C;YKL215C;YKL216W;YKR043C;YKR058W;YKR067W;YKR076W;YLL001W;YLL018C;YLL043W;YLL057C;YLL058W;YLL060C;YLL062C;YLR011W;YLR017W;YLR043C;YLR044C;YLR058C;YLR060W;YLR109W;YLR133W;YLR134W;YLR143W;YLR146C;YLR172C;YLR180W;YLR189C;YLR209C;YLR211C;YLR231C;YLR240W;YLR245C;YLR258W;YLR260W;YLR285W;YLR303W;YLR305C;YLR328W;YLR345W;YLR351C;YLR354C;YLR377C;YLR410W;YLR420W;YLR432W;YLR438W;YML004C;YML022W;YML035C;YML056C;YML070W;YML082W;YML100W;YML106W;YMR009W;YMR020W;YMR083W;YMR099C;YMR105C;YMR110C;YMR113W;YMR165C;YMR169C;YMR170C;YMR205C;YMR207C;YMR208W;YMR220W;YMR226C;YMR246W;YMR250W;YMR261C;YMR271C;YMR278W;YMR281W;YMR289W;YMR300C;YMR303C;YMR318C;YMR322C;YMR323W;YNL009W;YNL036W;YNL045W;YNL054W;YNL065W;YNL104C;YNL106C;YNL117W;YNL129W;YNL141W;YNL191W;YNL220W;YNL229C;YNL241C;YNL247W;YNL256W;YNL267W;YNL274C;YNL277W;YNL316C;YNR008W;YNR012W;YNR027W;YNR033W;YNR043W;YNR050C;YNR057C;YNR058W;YOL049W;YOL052C;YOL058W;YOL061W;YOL064C;YOL066C;YOL086C;YOL092W;YOL097C;YOL126C;YOL136C;YOL143C;YOL151W;YOR025W;YOR095C;YOR109W;YOR120W;YOR128C;YOR143C;YOR163W;YOR171C;YOR180C;YOR184W;YOR226C;YOR236W;YOR241W;YOR251C;YOR283W;YOR303W;YOR323C;YOR335C;YOR347C;YOR360C;YOR375C;YOR391C;YPL015C;YPL028W;YPL091W;YPL110C;YPL111W;YPL117C;YPL120W;YPL135W;YPL160W;YPL214C;YPL273W;YPL280W;YPR002W;YPR033C;YPR035W;YPR047W;YPR060C;YPR062W;YPR069C;YPR074C;YPR081C;YPR118W;YPR127W;YPR128C;YPR139C;YPR145W;YPR160W;YPR167C;YPR184W;YPR193C
cytoplasm to vacuole transport by the Cvt pathway [GO:0032258],YBR128C;YFR021W;YKL103C;YPL120W
cytoplasmic side of Golgi membrane [GO:0098548],YBR070C;YGL047W
cytoplasmic side of plasma membrane [GO:0009898],YBR041W;YHR174W
cytoplasmic stress granule [GO:0010494],YAL035W;YBR127C;YDL166C;YDR023W;YDR502C;YDR533C;YFL045C;YGL009C;YGL245W;YGR155W;YGR185C;YGR234W;YJR137C;YKL035W;YKL181W;YLR180W;YLR244C;YMR246W;YOR303W;YPL280W
cytoplasmic translation [GO:0002181],YDR023W
cytoplasmic vesicle [GO:0031410],YJL012C
cytoplasmic vesicle membrane [GO:0030659],YBR023C;YGL225W
cytosine deaminase activity [GO:0004131],YPR062W
cytosine metabolic process [GO:0019858],YPR062W
cytosine transport [GO:0015856],YER056C;YER060W;YER060W-A
cytoskeleton [GO:0005856],YLR410W
cytosol [GO:0005829],Q0130;YAL035W;YAL054C;YAL062W;YBL015W;YBL064C;YBL076C;YBL099W;YBR019C;YBR020W;YBR046C;YBR084W;YBR111C;YBR117C;YBR149W;YBR196C;YBR218C;YCL017C;YCL018W;YCL040W;YCR012W;YDL022W;YDL080C;YDL100C;YDL168W;YDL238C;YDR009W;YDR023W;YDR037W;YDR044W;YDR047W;YDR050C;YDR098C;YDR196C;YDR226W;YDR300C;YDR341C;YDR353W;YDR354W;YDR368W;YDR373W;YDR380W;YDR400W;YDR403W;YDR452W;YDR453C;YDR454C;YDR487C;YDR502C;YDR513W;YDR516C;YDR531W;YEL021W;YEL029C;YEL046C;YEL047C;YER003C;YER024W;YER043C;YER052C;YER174C;YER175C;YFL030W;YFL045C;YFL053W;YFL060C;YFR021W;YFR030W;YFR053C;YGL008C;YGL009C;YGL040C;YGL047W;YGL062W;YGL067W;YGL148W;YGL154C;YGL169W;YGL234W;YGL245W;YGL253W;YGR019W;YGR087C;YGR094W;YGR124W;YGR144W;YGR192C;YGR194C;YGR204W;YGR209C;YGR234W;YGR248W;YGR254W;YGR256W;YGR264C;YHR018C;YHR019C;YHR042W;YHR104W;YHR106W;YHR109W;YHR163W;YHR174W;YHR183W;YIL107C;YIR031C;YIR037W;YJL005W;YJL052W;YJL068C;YJL088W;YJL121C;YJL130C;YJL155C;YJL168C;YJL200C;YJR009C;YJR024C;YJR104C;YJR105W;YJR109C;YJR121W;YKL026C;YKL060C;YKL067W;YKL069W;YKL127W;YKL132C;YKL152C;YKL182W;YKR080W;YKR097W;YLL001W;YLL018C;YLL018C-A;YLL052C;YLR011W;YLR017W;YLR027C;YLR028C;YLR043C;YLR044C;YLR109W;YLR134W;YLR146C;YLR151C;YLR153C;YLR174W;YLR180W;YLR240W;YLR244C;YLR245C;YLR260W;YLR304C;YLR345W;YLR359W;YLR377C;YLR410W;YLR438W;YLR446W;YML035C;YML054C;YML070W;YMR006C;YMR008C;YMR056C;YMR105C;YMR113W;YMR120C;YMR165C;YMR208W;YMR217W;YMR250W;YNL037C;YNL045W;YNL117W;YNL241C;YNL247W;YNL274C;YNL334C;YNR001C;YNR016C;YNR027W;YNR043W;YOL011W;YOL049W;YOL052C;YOL055C;YOL058W;YOL059W;YOL126C;YOL136C;YOR065W;YOR074C;YOR120W;YOR168W;YOR209C;YOR241W;YOR375C;YOR388C;YPL028W;YPL061W;YPL091W;YPL097W;YPL111W;YPL117C;YPL120W;YPL175W;YPL214C;YPL231W;YPL258C;YPL262W;YPR033C;YPR069C;YPR074C;YPR121W;YPR145W;YPR165W;YPR167C
cytosolic ribosome [GO:0022626],YLR244C
cytosolic ribosome assembly [GO:0042256],YAL035W
cytosolic small ribosomal subunit [GO:0022627],YAL035W
dATP diphosphatase activity [GO:0008828],YJR069C
dCMP deaminase activity [GO:0004132],YHR144C
dCTP diphosphatase activity [GO:0047840],YJR069C
dGTP diphosphatase activity [GO:0036217],YJR069C
dITP catabolic process [GO:0035863],YBR252W
dITP diphosphatase activity [GO:0035870],YBR252W;YJR069C
dTDP biosynthetic process [GO:0006233],YJR057W
dTMP biosynthetic process [GO:0006231],YHR144C;YOR074C
dTTP biosynthetic process [GO:0006235],YJR057W;YOR074C
dTTP diphosphatase activity [GO:0036218],YJR069C
dUDP biosynthetic process [GO:0006227],YJR057W
dUMP biosynthetic process [GO:0006226],YBR252W;YHR144C
dUTP catabolic process [GO:0046081],YBR252W
dUTP diphosphatase activity [GO:0004170],YBR252W;YJR069C
deaminated glutathione amidase activity [GO:0110050],YJL126W
decanoate-CoA ligase activity [GO:0102391],YER015W
"dehydro-D-arabinono-1,4-lactone biosynthetic process [GO:0070485]",YML086C;YMR041C
dehydrodolichyl diphosphate synthase activity [GO:0045547],YBR002C;YMR101C
dehydrodolichyl diphosphate synthase complex [GO:1904423],YBR002C;YMR101C
delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165],YLR284C;YOR180C
"delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity [GO:0051750]",YOR180C
delta14-sterol reductase activity [GO:0050613],YNL280C
delta24(24-1) sterol reductase activity [GO:0000246],YGL012W
delta24-sterol reductase activity [GO:0050614],YGL012W
delta7-sterol 5(6)-desaturase activity [GO:0050046],YLR056W
deoxycytidine catabolic process [GO:0006217],YLR245C
deoxycytidine deaminase activity [GO:0047844],YLR245C
deoxyhypusine synthase activity [GO:0034038],YHR068W
deoxyribonucleoside monophosphate catabolic process [GO:0009159],YBR242W;YGL101W
deoxyribonucleotide biosynthetic process [GO:0009263],YER070W;YGR180C;YGR209C;YIL066C;YJL026W;YLR043C
dephospho-CoA kinase activity [GO:0004140],YDR196C;YGR277C
dephosphorylation [GO:0016311],YDR481C;YGR208W;YOR283W
dethiobiotin synthase activity [GO:0004141],YNR057C;YNR058W
diacetyl reductase ((R)-acetoin forming) activity [GO:0052587],YAL061W
diacylglycerol O-acyltransferase activity [GO:0004144],YOR245C
diacylglycerol cholinephosphotransferase activity [GO:0004142],YHR123W;YNL130C
diacylglycerol diphosphate phosphatase activity [GO:0000810],YDR284C;YDR503C
diadenosine hexaphosphate catabolic process [GO:1901909],YOR163W
diadenosine pentaphosphate catabolic process [GO:1901907],YOR163W
diadenosine polyphosphate catabolic process [GO:0015961],YOR163W
diadenosine tetraphosphate biosynthetic process [GO:0015966],YBR121C;YPR081C
diamine N-acetyltransferase activity [GO:0004145],YDR071C
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [GO:0008835],YOL066C;YPR062W
dicarboxylic acid transmembrane transporter activity [GO:0005310],YLR348C;YOR222W;YPL134C;YPL265W
dicarboxylic acid transport [GO:0006835],YLR348C
dihydroceramidase activity [GO:0071633],YPL087W
dihydrofolate metabolic process [GO:0046452],YOR236W
dihydrofolate reductase activity [GO:0004146],YOR236W
dihydrofolate synthase activity [GO:0008841],YKL132C;YMR113W
