NAME,ENTRY,Gene Ontology (GO)
YEL041W,P32622,ATP binding [GO:0005524]; NAD+ kinase activity [GO:0003951]; NADH kinase activity [GO:0042736]; NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]; phosphorylation [GO:0016310]
YEL042W,P32621,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; GDP phosphatase activity [GO:0004382]; UDP phosphatase activity [GO:0045134]; nucleoside diphosphate catabolic process [GO:0009134]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]
YEL046C,P37303,cytosol [GO:0005829]; L-allo-threonine aldolase activity [GO:0008732]; threonine aldolase activity [GO:0004793]; glycine biosynthetic process [GO:0006545]; threonine catabolic process [GO:0006567]
YEL047C,P32614,cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; FMN binding [GO:0010181]; fumarate reductase (NADH) activity [GO:0016156]; cellular response to anoxia [GO:0071454]
YEL051W,P32610,"fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; endosomal lumen acidification [GO:0048388]; Golgi lumen acidification [GO:0061795]; proton transmembrane transport [GO:1902600]; vacuolar acidification [GO:0007035]"
YEL058W,P38628,cytoplasm [GO:0005737]; nucleus [GO:0005634]; magnesium ion binding [GO:0000287]; phosphoacetylglucosamine mutase activity [GO:0004610]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
YEL063C,P04817,eisosome [GO:0032126]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; basic amino acid transmembrane transporter activity [GO:0015174]; L-arginine transmembrane transporter activity [GO:0061459]; amino acid transmembrane transport [GO:0003333]; basic amino acid transport [GO:0015802]; L-arginine transmembrane transport [GO:1903826]; transmembrane transport [GO:0055085]
YEL066W,P39979,cytoplasm [GO:0005737]; nucleus [GO:0005634]; D-amino-acid N-acetyltransferase activity [GO:0047812]; histone acetyltransferase activity [GO:0004402]; N-acetyltransferase activity [GO:0008080]; cellular detoxification of nitrogen compound [GO:0070458]; D-amino acid metabolic process [GO:0046416]; protein acetylation [GO:0006473]
YEL069C,P39924,endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; hexose transmembrane transport [GO:0008645]; mannitol transmembrane transport [GO:0015797]; sorbitol transmembrane transport [GO:0015795]
YEL070W,P0CX08,mannitol 2-dehydrogenase activity [GO:0050086]; mannitol dehydrogenase activity [GO:0046029]; mannitol metabolic process [GO:0019594]
YEL071W,P39976,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; (D)-2-hydroxyglutarate-pyruvate transhydrogenase activity [GO:0099615]; D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; FAD binding [GO:0071949]; filamentous growth [GO:0030447]; lactate biosynthetic process [GO:0019249]
YER003C,P29952,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]; cell wall mannoprotein biosynthetic process [GO:0000032]; GDP-mannose biosynthetic process [GO:0009298]; protein glycosylation [GO:0006486]
YER005W,P40009,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; apyrase activity [GO:0004050]; ATP binding [GO:0005524]; GDP phosphatase activity [GO:0004382]; nucleoside diphosphate phosphatase activity [GO:0017110]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; UDP phosphatase activity [GO:0045134]; protein glycosylation [GO:0006486]; sphingolipid metabolic process [GO:0006665]; UDP catabolic process [GO:0006256]
YER010C,P40011,"4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443]; metal ion binding [GO:0046872]; oxaloacetate decarboxylase activity [GO:0008948]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]"
YER014W,P40012,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]
YER015W,P39518,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; ATP binding [GO:0005524]; decanoate-CoA ligase activity [GO:0102391]; long-chain fatty acid-CoA ligase activity [GO:0004467]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; very long-chain fatty acid-CoA ligase activity [GO:0031957]; fatty acid beta-oxidation [GO:0006635]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid import into peroxisome [GO:0015910]; long-chain fatty acid metabolic process [GO:0001676]; very long-chain fatty acid catabolic process [GO:0042760]
YER019W,P40015,cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; inositol phosphosphingolipid phospholipase activity [GO:0052712]; metal ion binding [GO:0046872]; ceramide biosynthetic process [GO:0046513]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]; sphingolipid catabolic process [GO:0030149]
YER023W,P32263,cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; pyrroline-5-carboxylate reductase activity [GO:0004735]; L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561]
YER024W,P40017,cytoplasm [GO:0005737]; cytosol [GO:0005829]; carnitine O-acetyltransferase activity [GO:0004092]; alcohol metabolic process [GO:0006066]; carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]
YER026C,P08456,endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]; phosphatidylethanolamine biosynthetic process [GO:0006646]; phosphatidylserine biosynthetic process [GO:0006659]
YER037W,P40025,cytoplasm [GO:0005737]; nucleus [GO:0005634]; lysophosphatidic acid phosphatase activity [GO:0052642]; nucleotidase activity [GO:0008252]; cellular response to phosphate starvation [GO:0016036]; nucleotide catabolic process [GO:0009166]; pyrimidine nucleobase metabolic process [GO:0006206]; response to carbon starvation [GO:0090549]; triglyceride homeostasis [GO:0070328]
YER042W,P40029,cytoplasm [GO:0005737]; nucleus [GO:0005634]; L-methionine-(S)-S-oxide reductase activity [GO:0036456]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]; cellular response to oxidative stress [GO:0034599]
YER043C,P39954,cytoplasm [GO:0005737]; cytosol [GO:0005829]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]; phosphatidylcholine biosynthetic process [GO:0006656]; S-adenosylhomocysteine catabolic process [GO:0019510]; S-adenosylmethionine cycle [GO:0033353]; triglyceride metabolic process [GO:0006641]
YER052C,P10869,cytoplasm [GO:0005737]; cytosol [GO:0005829]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]
YER053C,P40035,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; copper ion transmembrane transporter activity [GO:0005375]; inorganic phosphate transmembrane transporter activity [GO:0005315]; copper ion transmembrane transport [GO:0035434]; intracellular copper ion homeostasis [GO:0006878]; mitochondrial phosphate ion transmembrane transport [GO:1990547]; phosphate ion transmembrane transport [GO:0035435]
YER055C,P00498,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; histidine biosynthetic process [GO:0000105]
YER056C,P17064,cell periphery [GO:0071944]; fungal-type vacuole membrane [GO:0000329]; plasma membrane [GO:0005886]; cytidine transmembrane transporter activity [GO:0015212]; nucleobase transmembrane transporter activity [GO:0015205]; cytidine transport [GO:0015861]; cytosine transport [GO:0015856]; purine-containing compound transmembrane transport [GO:0072530]
YER060W,P40039,plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]; cytosine transport [GO:0015856]; purine-containing compound transmembrane transport [GO:0072530]
YER060W-A,Q12119,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]; cytosine transport [GO:0015856]; purine-containing compound transmembrane transport [GO:0072530]
YER061C,P39525,mitochondrion [GO:0005739]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]
YER062C,P40106,cytoplasm [GO:0005737]; nucleus [GO:0005634]; beta-phosphoglucomutase activity [GO:0008801]; glycerol-1-phosphatase activity [GO:0000121]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; glycerol biosynthetic process [GO:0006114]; response to osmotic stress [GO:0006970]
YER065C,P28240,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; vacuole [GO:0005773]; isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]
YER069W,Q01217,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; protein dimerization activity [GO:0046983]; arginine biosynthetic process [GO:0006526]; ornithine biosynthetic process [GO:0006592]; phosphorylation [GO:0016310]; regulation of DNA-templated transcription [GO:0006355]
YER070W,P21524,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]"
YER073W,P40047,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; acetate biosynthetic process [GO:0019413]; ethanol catabolic process [GO:0006068]
YER081W,P40054,cytoplasm [GO:0005737]; alpha-ketoglutarate reductase activity [GO:0061759]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]; serine family amino acid biosynthetic process [GO:0009070]
YER086W,P00927,mitochondrion [GO:0005739]; L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]
YER087W,P39965,mitochondrion [GO:0005739]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]
YER090W,P00899,anthranilate synthase complex [GO:0005950]; cytoplasm [GO:0005737]; anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]; glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]
YER091C,P05694,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]
YER099C,P38620,cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; fungal-type cell wall organization [GO:0031505]; phosphorylation [GO:0016310]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156]
YER119C,P40074,fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; L-arginine transmembrane transporter activity [GO:0061459]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; amino acid transmembrane export from vacuole [GO:0032974]; amino acid transmembrane transport [GO:0003333]; transmembrane transport [GO:0055085]
YER141W,P40086,"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor [GO:0016653]; heme A biosynthetic process [GO:0006784]"
YER152C,P10356,cytoplasm [GO:0005737]; nucleus [GO:0005634]; 2-aminoadipate transaminase activity [GO:0047536]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]
YER163C,P32656,cytoplasm [GO:0005737]; nucleus [GO:0005634]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; glutathione catabolic process [GO:0006751]
YER170W,P26364,cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; nucleoside triphosphate adenylate kinase activity [GO:0046899]; ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; GTP metabolic process [GO:0046039]; ITP metabolic process [GO:0046041]; nucleoside triphosphate biosynthetic process [GO:0009142]; nucleotide metabolic process [GO:0009117]; phosphorylation [GO:0016310]
YER174C,P32642,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron-sulfur cluster assembly complex [GO:1990229]; nucleus [GO:0005634]; 2 iron, 2 sulfur cluster binding [GO:0051537]; disulfide oxidoreductase activity [GO:0015036]; glutathione transferase activity [GO:0004364]; metal ion binding [GO:0046872]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; actin cytoskeleton organization [GO:0030036]; cellular response to oxidative stress [GO:0034599]; intracellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; negative regulation of transcription regulatory region DNA binding [GO:2000678]"
YER175C,P32643,cytosol [GO:0005829]; trans-aconitate 3-methyltransferase activity [GO:0046547]; methylation [GO:0032259]
YER178W,P16387,mitochondrial nucleoid [GO:0042645]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycolytic process [GO:0006096]; pseudohyphal growth [GO:0007124]
YER183C,P40099,mitochondrion [GO:0005739]; 5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; folic acid-containing compound biosynthetic process [GO:0009396]; tetrahydrofolate interconversion [GO:0035999]
YFL001W,P31115,cytoplasm [GO:0005737]; nucleus [GO:0005634]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; mRNA pseudouridine synthesis [GO:1990481]; tRNA pseudouridine synthesis [GO:0031119]
YFL011W,P43581,cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; fructose transmembrane transporter activity [GO:0005353]; galactose transmembrane transporter activity [GO:0005354]; glucose transmembrane transporter activity [GO:0005355]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; hexose transmembrane transport [GO:0008645]
YFL017C,P43577,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343]; monosaccharide binding [GO:0048029]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
YFL018C,P09624,glycine cleavage complex [GO:0005960]; mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial nucleoid [GO:0042645]; mitochondrial oxoglutarate dehydrogenase complex [GO:0009353]; mitochondrial pyruvate dehydrogenase complex [GO:0005967]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252]; dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; glycine dehydrogenase (decarboxylating) activity [GO:0004375]; oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; pyruvate dehydrogenase activity [GO:0004738]; 2-oxoglutarate metabolic process [GO:0006103]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]; glycine catabolic process [GO:0006546]; hydrogen peroxide metabolic process [GO:0042743]; isoleucine catabolic process [GO:0006550]; L-serine biosynthetic process [GO:0006564]; leucine catabolic process [GO:0006552]; pyruvate metabolic process [GO:0006090]; valine catabolic process [GO:0006574]
YFL022C,P15625,cytoplasm [GO:0005737]; phenylalanine-tRNA ligase complex [GO:0009328]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]
YFL030W,P43567,"cytosol [GO:0005829]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; alanine-glyoxylate transaminase activity [GO:0008453]; serine-pyruvate transaminase activity [GO:0004760]; glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]"
YFL045C,P07283,cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; metal ion binding [GO:0046872]; phosphomannomutase activity [GO:0004615]; GDP-mannose biosynthetic process [GO:0009298]; mannose metabolic process [GO:0006013]; protein N-linked glycosylation [GO:0006487]
YFL053W,P43550,cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]; anaerobic glycerol catabolic process [GO:0019588]; glycerol catabolic process [GO:0019563]; glycerol to glycerone phosphate metabolic process [GO:0061610]; phosphorylation [GO:0016310]
YFL054C,P43549,cell periphery [GO:0071944]; plasma membrane [GO:0005886]; glycerol channel activity [GO:0015254]; water channel activity [GO:0015250]; glycerol transmembrane transport [GO:0015793]; transmembrane transport [GO:0055085]; water transport [GO:0006833]
YFL055W,P43548,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]
YFL058W,P43534,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase activity from histidine and PLP [GO:0106344]; iron ion binding [GO:0005506]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
YFL059W,P43545,amine-lyase activity [GO:0016843]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]; thiamine biosynthetic process [GO:0009228]
YFL060C,P43544,cytosol [GO:0005829]; glutaminase complex [GO:1903600]; glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; glutamine metabolic process [GO:0006541]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine metabolic process [GO:0008614]
YFL061W,P0CH63,cyanamide hydratase activity [GO:0018820]; zinc ion binding [GO:0008270]; cyanamide metabolic process [GO:0018890]
YFR015C,P23337,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; glycogen (starch) synthase activity [GO:0004373]; glycogen biosynthetic process [GO:0005978]
YFR019W,P34756,"endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; PAS complex [GO:0070772]; 1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]; 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process [GO:1903100]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphorylation [GO:0016310]; regulation of phosphatidylinositol biosynthetic process [GO:0010511]"
YFR021W,P43601,"cell periphery [GO:0071944]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; fungal-type vacuole membrane [GO:0000329]; PAS complex [GO:0070772]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; protein-containing complex [GO:0032991]; vacuolar membrane [GO:0005774]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]; ubiquitin binding [GO:0043130]; 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process [GO:1903100]; autophagosome assembly [GO:0000045]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; nucleophagy [GO:0044804]; pexophagy [GO:0000425]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of vacuole organization [GO:0044090]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; regulation of phosphatidylinositol biosynthetic process [GO:0010511]; vacuolar protein processing [GO:0006624]"
YFR025C,P38635,cytoplasm [GO:0005737]; histidinol-phosphatase activity [GO:0004401]; histidine biosynthetic process [GO:0000105]
YFR030W,P39692,cytoplasm [GO:0005737]; cytosol [GO:0005829]; sulfite reductase complex (NADPH) [GO:0009337]; flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]; sulfite reductase (NADPH) activity [GO:0004783]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]; sulfur amino acid biosynthetic process [GO:0000097]
YFR033C,P00127,"mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; proton transmembrane transport [GO:1902600]"
YFR044C,P43616,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; metallodipeptidase activity [GO:0070573]; omega peptidase activity [GO:0008242]; peptidase activity [GO:0008233]; glutathione catabolic process [GO:0006751]; proteolysis [GO:0006508]
YFR047C,P43619,cytoplasm [GO:0005737]; nucleus [GO:0005634]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]
YFR049W,P19955,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial nucleoid [GO:0042645]; mitochondrial oxoglutarate dehydrogenase complex [GO:0009353]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; 2-oxoglutarate metabolic process [GO:0006103]; tricarboxylic acid cycle [GO:0006099]
YFR053C,P04806,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]; carbohydrate phosphorylation [GO:0046835]; fructose import across plasma membrane [GO:1990539]; fructose metabolic process [GO:0006000]; glucose 6-phosphate metabolic process [GO:0051156]; glucose import [GO:0046323]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; intracellular glucose homeostasis [GO:0001678]; mannose metabolic process [GO:0006013]
YFR055W,P43623,cystathionine beta-lyase activity [GO:0004121]; cysteine-S-conjugate beta-lyase activity [GO:0047804]; pyridoxal phosphate binding [GO:0030170]; L-cysteine catabolic process to pyruvate [GO:0019450]; methionine biosynthetic process [GO:0009086]; sulfur compound metabolic process [GO:0006790]; transsulfuration [GO:0019346]
YGL001C,P53199,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; 3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; 4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity [GO:0103066]; 4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity [GO:0103067]; C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity [GO:0000252]; sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity [GO:0047012]; ergosterol biosynthetic process [GO:0006696]
YGL006W,P38929,fungal-type vacuole membrane [GO:0000329]; intracellular membrane-bounded organelle [GO:0043231]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; calcium ion transport [GO:0006816]; intracellular calcium ion homeostasis [GO:0006874]; transmembrane transport [GO:0055085]
YGL008C,P05030,cytosol [GO:0005829]; eisosome [GO:0032126]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type proton-exporting transporter activity [GO:0008553]; positive regulation of TORC1 signaling [GO:1904263]; proteasome storage granule assembly [GO:1902906]; proton export across plasma membrane [GO:0120029]; proton transmembrane transport [GO:1902600]; regulation of intracellular pH [GO:0051453]; transmembrane transport [GO:0055085]
YGL009C,P07264,"3-isopropylmalate dehydratase complex [GO:0009316]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; 3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; leucine biosynthetic process [GO:0009098]"
YGL012W,P25340,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; delta24(24-1) sterol reductase activity [GO:0000246]; delta24-sterol reductase activity [GO:0050614]; ergosterol biosynthetic process [GO:0006696]
YGL017W,P16639,cytoplasm [GO:0005737]; arginyl-tRNA--protein transferase activity [GO:0004057]; protein arginylation [GO:0016598]
YGL026C,P00931,cytoplasm [GO:0005737]; nucleus [GO:0005634]; tryptophan synthase activity [GO:0004834]; tryptophan biosynthetic process [GO:0000162]
