Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
P28321	reviewed	MGLL_YEAST	Monoglyceride lipase (MGL) (EC 3.1.1.23) (Fatty acid ethyl ester hydrolase) (FAEE hydrolase) (Monoacylglycerol hydrolase) (MAG hydrolase) (MGH) (Monoacylglycerol lipase) (MAG lipase) (MAGL) (Serine hydrolase YJU3)	YJU3 YKL094W YKL441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	313	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; acylglycerol lipase activity [GO:0047372]; lipase activity [GO:0016298]; serine hydrolase activity [GO:0017171]; triglyceride catabolic process [GO:0019433]; triglyceride metabolic process [GO:0006641]
P28495	reviewed	CAPZA_YEAST	F-actin-capping protein subunit alpha	CAP1 YKL007W YKL155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	268	actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; F-actin capping protein complex [GO:0008290]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]
P28496	reviewed	LAC1_YEAST	Ceramide synthase LAC1 (Very-long-chain ceramide synthase LAC1) (EC 2.3.1.297)	LAC1 DGT1 YKL008C YKL156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	418	acyl-CoA ceramide synthase complex [GO:0061576]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; nuclear periphery [GO:0034399]; sphingosine N-acyltransferase activity [GO:0050291]; ceramide biosynthetic process [GO:0046513]
P28519	reviewed	RAD14_YEAST	DNA repair protein RAD14	RAD14 YMR201C YM8325.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	371	nucleotide-excision repair factor 1 complex [GO:0000110]; nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]; nucleotide-excision repair, DNA damage recognition [GO:0000715]; UV-damage excision repair [GO:0070914]
P28627	reviewed	IMP1_YEAST	Mitochondrial inner membrane protease subunit 1 (EC 3.4.21.-)	IMP1 PET2858 YMR150C YM9375.20C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190	mitochondrial inner membrane [GO:0005743]; mitochondrial inner membrane peptidase complex [GO:0042720]; mitochondrion [GO:0005739]; endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; signal peptide processing [GO:0006465]
P28707	reviewed	SBA1_YEAST	Co-chaperone protein SBA1	SBA1 YKL117W YKL518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp90 protein binding [GO:0051879]; protein-folding chaperone binding [GO:0051087]; chaperone-mediated protein complex assembly [GO:0051131]; negative regulation of DNA binding [GO:0043392]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]
P28708	reviewed	PRR1_YEAST	Serine/threonine-protein kinase PRR1 (EC 2.7.11.1) (Pheromone response regulator 1)	PRR1 YKL116C YKL516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	518	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; negative regulation of conjugation with cellular fusion [GO:0031138]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phosphorylation [GO:0016310]; response to pheromone [GO:0019236]
P28737	reviewed	MSP1_YEAST	Outer mitochondrial transmembrane helix translocase (EC 7.4.2.-) (Mitochondrial sorting of proteins) (Tat-binding homolog 4)	MSP1 YTA4 YGR028W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	362	mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; membrane protein dislocase activity [GO:0140567]; extraction of mislocalized protein from mitochondrial outer membrane [GO:0140570]; protein hexamerization [GO:0034214]; protein targeting to mitochondrion [GO:0006626]
P28742	reviewed	KIP1_YEAST	Kinesin-like protein KIP1 (Chromosome instability protein 9)	KIP1 CIN9 YBL063W YBL0504 YBL0521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1111	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; plus-end-directed microtubule motor activity [GO:0008574]; 2-micrometer plasmid partitioning [GO:0030543]; cell division [GO:0051301]; initial mitotic spindle pole body separation [GO:0000073]; microtubule depolymerization [GO:0007019]; microtubule-based movement [GO:0007018]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly [GO:0090307]; mitotic spindle elongation [GO:0000022]; spindle elongation [GO:0051231]
P28743	reviewed	KIP2_YEAST	Kinesin-like protein KIP2	KIP2 YPL155C P2581	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	706	cortical microtubule plus-end [GO:1903754]; cytoplasmic microtubule [GO:0005881]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; spindle pole body [GO:0005816]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; plus-end-directed microtubule motor activity [GO:0008574]; cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule-based movement [GO:0007018]; negative regulation of microtubule depolymerization [GO:0007026]; nuclear migration along microtubule [GO:0030473]
P28777	reviewed	AROC_YEAST	Chorismate synthase ARO2 (EC 1.5.1.38) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (Aromatic amino acid requiring protein 2)	ARO2 YGL148W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376	cytoplasm [GO:0005737]; cytosol [GO:0005829]; chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]; FMN reductase (NAD(P)H) activity [GO:0008752]; FMN reductase (NADPH) activity [GO:0052873]; riboflavin reductase (NADPH) activity [GO:0042602]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
P28791	reviewed	SEC20_YEAST	Protein transport protein SEC20	SEC20 YDR498C D9719.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	383	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]; endoplasmic reticulum [GO:0005783]; Golgi to ER transport vesicle membrane [GO:0012508]; membrane [GO:0016020]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle fusion with endoplasmic reticulum [GO:0048279]
P28795	reviewed	PEX3_YEAST	Peroxisomal biogenesis factor 3 (Peroxin-3)	PEX3 PAS3 YDR329C D9798.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	441	endoplasmic reticulum [GO:0005783]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; protein-macromolecule adaptor activity [GO:0030674]; ER-dependent peroxisome organization [GO:0032581]; peroxisome inheritance [GO:0045033]; protein import into peroxisome membrane [GO:0045046]
P28817	reviewed	HIBCH_YEAST	Small ribosomal subunit protein mS47 (3-hydroxyisobutyryl-CoA hydrolase, mitochondrial) (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)	EHD3 MRP5 YDR036C YD9673.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; 3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; valine catabolic process [GO:0006574]
P28834	reviewed	IDH1_YEAST	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	IDH1 YNL037C N2690	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; RNA binding [GO:0003723]; glutamate biosynthetic process [GO:0006537]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]
P29029	reviewed	CHIT_YEAST	Endochitinase (EC 3.2.1.14) (Soluble cell wall protein 2)	CTS1 SCW2 YLR286C L8003.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562	cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; nuclear envelope [GO:0005635]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]; cell wall organization [GO:0071555]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]; septum digestion after cytokinesis [GO:0000920]
P29055	reviewed	TF2B_YEAST	Transcription initiation factor IIB (General transcription factor TFIIB) (Transcription factor E)	SUA7 YPR086W P9513.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345	nucleus [GO:0005634]; transcription preinitiation complex [GO:0097550]; metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II complex recruiting activity [GO:0001139]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription initiation at RNA polymerase II promoter [GO:0006367]; transcription open complex formation at RNA polymerase II promoter [GO:0001113]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]
P29056	reviewed	TF3B_YEAST	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	BRF1 PCF4 TDS4 YGR246C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	596	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIIIB complex [GO:0000126]; transcription preinitiation complex [GO:0097550]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA polymerase III core binding [GO:0000994]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; RNA polymerase III type 3 promoter sequence-specific DNA binding [GO:0001006]; TBP-class protein binding [GO:0017025]; TFIIIC-class transcription factor complex binding [GO:0001156]; DNA-templated transcription initiation [GO:0006352]; DNA-templated transcription open complex formation [GO:0001112]; regulation of transcription by RNA polymerase III [GO:0006359]; RNA polymerase III preinitiation complex assembly [GO:0070898]; transcription by RNA polymerase III [GO:0006383]
P29295	reviewed	HRR25_YEAST	Casein kinase I homolog HRR25 (EC 2.7.11.1)	HRR25 YPL204W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	494	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; monopolin complex [GO:0033551]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; preribosome, small subunit precursor [GO:0030688]; spindle pole body [GO:0005816]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; DNA repair [GO:0006281]; endocytosis [GO:0006897]; meiotic chromosome segregation [GO:0045132]; pexophagy [GO:0000425]; phosphorylation [GO:0016310]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of autophagosome assembly [GO:2000785]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of protein localization [GO:0032880]; regulation of protein localization by the Cvt pathway [GO:2001159]; regulation of vesicle fusion with Golgi apparatus [GO:0106214]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal small subunit biogenesis [GO:0042274]; signal transduction [GO:0007165]; spindle attachment to meiosis I kinetochore [GO:0051455]; tRNA wobble uridine modification [GO:0002098]
P29311	reviewed	BMH1_YEAST	Protein BMH1	BMH1 YER177W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	267	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA replication origin binding [GO:0003688]; enzyme activator activity [GO:0008047]; phosphoserine residue binding [GO:0050815]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; aggresome assembly [GO:0070842]; ascospore formation [GO:0030437]; DNA damage checkpoint signaling [GO:0000077]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; mitotic spindle orientation checkpoint signaling [GO:0031578]; negative regulation of apoptotic process [GO:0043066]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pseudohyphal growth [GO:0007124]; Ras protein signal transduction [GO:0007265]; regulation of glycogen metabolic process [GO:0070873]; signal transduction [GO:0007165]; signal transduction involved in filamentous growth [GO:0001402]
P29340	reviewed	UBCX_YEAST	Ubiquitin-conjugating enzyme E2-21 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme PEX4) (Peroxin-4) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	PEX4 PAS2 UBC10 YGR133W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	183	nucleus [GO:0005634]; peroxisome [GO:0005777]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]; peroxisome organization [GO:0007031]; protein autoubiquitination [GO:0051865]; protein import into peroxisome matrix, receptor recycling [GO:0016562]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]
P29366	reviewed	BEM1_YEAST	Bud emergence protein 1 (Suppressor of RHO3 protein 1)	BEM1 SRO1 YBR200W YBR1412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551	cell cortex [GO:0005938]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; PAR polarity complex [GO:0120157]; site of polarized growth [GO:0030427]; molecular adaptor activity [GO:0060090]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein-macromolecule adaptor activity [GO:0030674]; cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; cellular bud site selection [GO:0000282]; conjugation with cellular fusion [GO:0000747]; maintenance of protein location [GO:0045185]; regulation of Rho protein signal transduction [GO:0035023]
P29453	reviewed	RL8B_YEAST	Large ribosomal subunit protein eL8B (60S ribosomal protein L8-B) (L4) (L4-1) (RP6) (YL5)	RPL8B KRB1 RPL4B YLL045C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA [GO:0000470]
P29461	reviewed	PTP2_YEAST	Tyrosine-protein phosphatase 2 (EC 3.1.3.48) (Protein-tyrosine phosphatase 2) (PTPase 2)	PTP2 YOR208W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	750	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein tyrosine phosphatase activity [GO:0004725]; dephosphorylation [GO:0016311]; maintenance of protein location in nucleus [GO:0051457]; regulation of sporulation [GO:0043937]
P29465	reviewed	CHS3_YEAST	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	CHS3 CAL1 CSD2 DIT101 KIT2 YBR023C YBR0305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1165	cell periphery [GO:0071944]; cell septum [GO:0030428]; cellular bud neck [GO:0005935]; chitosome [GO:0045009]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]; chitin synthase activity [GO:0004100]; ascospore wall assembly [GO:0030476]; cell wall chitin biosynthetic process [GO:0006038]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; protein localization to bud neck [GO:0097271]
P29468	reviewed	PAP_YEAST	Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)	PAP1 YKR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	568	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA polyadenylation [GO:0006378]; sno(s)RNA 3'-end processing [GO:0031126]; termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]
P29469	reviewed	MCM2_YEAST	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	MCM2 YBL023C YBL0438	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	868	CMG complex [GO:0071162]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; DNA damage response [GO:0006974]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication initiation [GO:1902975]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; premeiotic DNA replication [GO:0006279]
P29496	reviewed	MCM5_YEAST	Minichromosome maintenance protein 5 (EC 3.6.4.12) (Cell division control protein 46)	MCM5 CDC46 YLR274W L9328.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	775	chromosome, telomeric region [GO:0000781]; CMG complex [GO:0071162]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; helicase activity [GO:0004386]; DNA replication initiation [GO:0006270]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; heterochromatin formation [GO:0031507]; nuclear DNA replication [GO:0033260]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; premeiotic DNA replication [GO:0006279]; regulation of DNA-templated DNA replication initiation [GO:0030174]; subtelomeric heterochromatin formation [GO:0031509]
P29509	reviewed	TRXB1_YEAST	Thioredoxin reductase 1 (TR) (TrxR) (EC 1.8.1.9) (Thioredoxin peroxidase 1) (TPx) (Thioredoxin-dependent peroxide reductase 1)	TRR1 YDR353W D9476.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; ferrous iron binding [GO:0008198]; thioredoxin-disulfide reductase (NADP) activity [GO:0004791]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; removal of superoxide radicals [GO:0019430]
P29539	reviewed	RIF1_YEAST	Telomere length regulator protein RIF1 (RAP1-interacting factor 1)	RIF1 YBR275C YBR1743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1916	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; shelterin complex [GO:0070187]; telomeric DNA binding [GO:0042162]; cell cycle [GO:0007049]; DNA double-strand break processing [GO:0000729]; DNA replication initiation [GO:0006270]; negative regulation of DNA-templated DNA replication initiation [GO:0032297]; negative regulation of mitotic DNA replication initiation from late origin [GO:0101018]; protein localization to chromosome, telomeric region [GO:0070198]; regulation of DNA stability [GO:0097752]; silent mating-type cassette heterochromatin formation [GO:0030466]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]
P29547	reviewed	EF1G1_YEAST	Elongation factor 1-gamma 1 (EF-1-gamma 1) (Calcium and membrane-binding protein 1) (Calcium phospholipid-binding protein) (CPBP) (Eukaryotic elongation factor 1Bgamma 1) (eEF1Bgamma 1) (Translation elongation factor 1B gamma 1)	CAM1 TEF3 YPL048W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; eukaryotic translation elongation factor 1 complex [GO:0005853]; nucleus [GO:0005634]; ribosome [GO:0005840]; calcium ion binding [GO:0005509]; core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription factor activity [GO:0003700]; guanyl-nucleotide exchange factor activity [GO:0005085]; phospholipid binding [GO:0005543]; translation elongation factor activity [GO:0003746]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of translational termination [GO:0006449]; translational elongation [GO:0006414]
P29703	reviewed	FNTA_YEAST	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (PFTase/PGGTase I alpha) (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	RAM2 YKL019W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	316	CAAX-protein geranylgeranyltransferase complex [GO:0005953]; cytoplasm [GO:0005737]; protein farnesyltransferase complex [GO:0005965]; CAAX-protein geranylgeranyltransferase activity [GO:0004662]; protein farnesyltransferase activity [GO:0004660]; protein geranylgeranyltransferase activity [GO:0004661]; peptide pheromone maturation [GO:0007323]; protein farnesylation [GO:0018343]; protein geranylgeranylation [GO:0018344]
P29704	reviewed	ERG9_YEAST	Squalene synthase ERG9 (SQS) (SS) (EC 2.5.1.21) (Ergosterol biosynthetic protein 9) (FPP:FPP farnesyltransferase ERG9) (Farnesyl-diphosphate farnesyltransferase ERG9)	ERG9 YHR190W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; farnesyl-diphosphate farnesyltransferase activity [GO:0004310]; squalene synthase activity [GO:0051996]; ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate metabolic process [GO:0045338]; isoprenoid biosynthetic process [GO:0008299]
P29952	reviewed	MPI_YEAST	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	PMI40 YER003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]; cell wall mannoprotein biosynthetic process [GO:0000032]; GDP-mannose biosynthetic process [GO:0009298]; protein glycosylation [GO:0006486]
P30283	reviewed	CGS5_YEAST	S-phase entry cyclin-5	CLB5 YPR120C P9642.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole body [GO:0005816]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; cell division [GO:0051301]; DNA damage response [GO:0006974]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle phase transition [GO:0044772]; positive regulation of DNA replication [GO:0045740]; positive regulation of mitotic spindle pole body separation [GO:0010696]; premeiotic DNA replication [GO:0006279]; regulation of DNA-templated transcription [GO:0006355]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein phosphorylation [GO:0001932]
P30605	reviewed	ITR1_YEAST	Myo-inositol transporter 1	ITR1 YDR497C D9719.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	584	cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; membrane [GO:0016020]; plasma membrane [GO:0005886]; myo-inositol transmembrane transporter activity [GO:0005365]; myo-inositol:proton symporter activity [GO:0005366]; myo-inositol import across plasma membrane [GO:1904679]; myo-inositol transport [GO:0015798]; pseudohyphal growth [GO:0007124]; transmembrane transport [GO:0055085]
P30619	reviewed	SEC1_YEAST	Protein transport protein SEC1	SEC1 YDR164C YD8358.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	724	cell periphery [GO:0071944]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; plasma membrane [GO:0005886]; SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]; exocytosis [GO:0006887]; intracellular protein transport [GO:0006886]; positive regulation of vesicle fusion [GO:0031340]; vesicle docking involved in exocytosis [GO:0006904]; vesicle-mediated transport [GO:0016192]
P30620	reviewed	PSO2_YEAST	DNA cross-link repair protein PSO2/SNM1 (EC 3.1.-.-)	PSO2 SNM1 YMR137C YM9375.06C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	661	nucleus [GO:0005634]; 5'-3' DNA exonuclease activity [GO:0035312]; 5'-3' exonuclease activity [GO:0008409]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]
