Entry,Gene Ontology (GO)
P38238,cytoplasm [GO:0005737]; cytosol [GO:0005829]; S-adenosyl-L-methionine binding [GO:1904047]; tRNA (cytidine(32)-2'-O)-methyltransferase activity [GO:0106339]; tRNA (guanine(34)-2'-O)-methyltransferase activity [GO:0106340]; tRNA (guanine) methyltransferase activity [GO:0016423]; tRNA 2'-O-methyltransferase activity [GO:0106050]; tRNA methyltransferase activity [GO:0008175]; cytoplasmic translation [GO:0002181]; tRNA methylation [GO:0030488]; tRNA nucleoside ribose methylation [GO:0002128]; wobble position ribose methylation [GO:0002130]
P38242,cytoplasmic side of Golgi membrane [GO:0098548]; endoplasmic reticulum membrane [GO:0005789]; nuclear membrane [GO:0031965]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; UDP-N-acetylglucosamine transferase complex [GO:0043541]; protein-membrane adaptor activity [GO:0043495]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]
P38244,fungal-type vacuole membrane [GO:0000329]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]; proteolysis [GO:0006508]
P38247,cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; Ragulator complex [GO:0071986]; identical protein binding [GO:0042802]; endocytic recycling [GO:0032456]; microautophagy [GO:0016237]; positive regulation of TOR signaling [GO:0032008]; protein transport [GO:0015031]; signal transduction [GO:0007165]
P38248,endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; fungal-type cell wall organization [GO:0031505]
P38249,"cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; incipient cellular bud site [GO:0000131]; multi-eIF complex [GO:0043614]; mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]; translation reinitiation [GO:0002188]; translational initiation [GO:0006413]"
P38250,cell periphery [GO:0071944]; cellular bud membrane [GO:0033101]; cortical endoplasmic reticulum [GO:0032541]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; lipid binding [GO:0008289]; chloride transmembrane transport [GO:1902476]; endoplasmic reticulum membrane organization [GO:0090158]; protein localization to plasma membrane [GO:0072659]; regulation of phosphatidylinositol dephosphorylation [GO:0060304]
P38251,Ctf18 RFC-like complex [GO:0031390]; DNA replication factor C complex [GO:0005663]; Elg1 RFC-like complex [GO:0031391]; nucleus [GO:0005634]; Rad17 RFC-like complex [GO:0031389]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA clamp unloading [GO:0090618]; DNA damage checkpoint signaling [GO:0000077]; DNA repair [GO:0006281]; DNA-templated DNA replication [GO:0006261]; leading strand elongation [GO:0006272]; mitotic sister chromatid cohesion [GO:0007064]; sister chromatid cohesion [GO:0007062]
P38255,Clr6 histone deacetylase complex I'' [GO:1990483]; cytosol [GO:0005829]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]; conjugation with cellular fusion [GO:0000747]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of rDNA heterochromatin formation [GO:0061188]; negative regulation of silent mating-type cassette heterochromatin formation [GO:0061186]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome assembly [GO:0006334]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; regulation of transcription by RNA polymerase II [GO:0006357]
P38257,Holliday junction resolvase complex [GO:0048476]; nucleus [GO:0005634]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; reciprocal meiotic recombination [GO:0007131]; regulation of reciprocal meiotic recombination [GO:0010520]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712]
P38261,cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; exocyst [GO:0000145]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; prospore membrane [GO:0005628]; transport vesicle [GO:0030133]; exocyst assembly [GO:0001927]; exocyst localization [GO:0051601]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; protein localization [GO:0008104]; protein transport [GO:0015031]; spliceosomal complex assembly [GO:0000245]; vesicle docking involved in exocytosis [GO:0006904]
P38262,nucleus [GO:0005634]; Rpd3L-Expanded complex [GO:0070210]; Set3 complex [GO:0034967]; transcription corepressor activity [GO:0003714]; cellular response to starvation [GO:0009267]; chromatin organization [GO:0006325]; DNA damage response [GO:0006974]; negative regulation of meiotic nuclear division [GO:0045835]; positive regulation of stress-activated MAPK cascade [GO:0032874]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]
P38263,cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; GID complex [GO:0034657]; vacuole [GO:0005773]; negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]
P38264,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondrion [GO:0005739]; phosphate ion transport [GO:0006817]; protein maturation [GO:0051604]; protein targeting to ER [GO:0045047]; protein transport [GO:0015031]
P38265,"kinetochore [GO:0000776]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; ascospore formation [GO:0030437]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; establishment of meiotic sister chromatid cohesion [GO:0034089]; establishment of mitotic sister chromatid cohesion [GO:0034087]; maintenance of meiotic sister chromatid cohesion [GO:0034090]; meiotic sister chromatid segregation [GO:0045144]; protein localization to chromosome, centromeric region [GO:0071459]"
P38270,"fungal-type vacuole membrane [GO:0000329]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; vacuole-isolation membrane contact site [GO:0120095]; autophagy [GO:0006914]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; pexophagy [GO:0000425]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; piecemeal microautophagy of the nucleus [GO:0034727]; protein transport [GO:0015031]"
P38272,cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; mRNA binding [GO:0003729]; sequence-specific mRNA binding [GO:1990825]; endoplasmic reticulum inheritance [GO:0048309]; intracellular mRNA localization [GO:0008298]; mating type switching [GO:0007533]; mRNA transport [GO:0051028]
P38273,cytosol [GO:0005829]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; Mon1-Ccz1 complex [GO:0035658]; multivesicular body membrane [GO:0032585]; vacuolar membrane [GO:0005774]; guanyl-nucleotide exchange factor activity [GO:0005085]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; macroautophagy [GO:0016236]; protein targeting to vacuolar membrane [GO:0044395]; protein targeting to vacuole [GO:0006623]; protein transport [GO:0015031]; vacuolar transport [GO:0007034]; vesicle docking [GO:0048278]; vesicle-mediated transport [GO:0016192]
P38274,cellular bud neck [GO:0005935]; cellular bud neck septin collar [GO:0032174]; cellular bud neck septin ring [GO:0000144]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; outer plaque of spindle pole body [GO:0005824]; histone arginine N-methyltransferase activity [GO:0008469]; histone methyltransferase activity [GO:0042054]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]; cell division [GO:0051301]; cell morphogenesis [GO:0000902]; G2/M transition of mitotic cell cycle [GO:0000086]; methylation [GO:0032259]; positive regulation of mitotic nuclear division [GO:0045840]; protein catabolic process [GO:0030163]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated transcription [GO:0006355]
P38283,chromosome passenger complex [GO:0032133]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; protein kinase activator activity [GO:0030295]; activation of protein kinase activity [GO:0032147]; attachment of meiotic spindle microtubules to kinetochore [GO:0051316]; chromosome segregation [GO:0007059]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; regulation of cytokinesis [GO:0032465]; sister chromatid biorientation [GO:0031134]
P38285,cellular bud [GO:0005933]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; small GTPase binding [GO:0031267]; cell division [GO:0051301]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mitotic spindle orientation checkpoint signaling [GO:0031578]; negative regulation of exit from mitosis [GO:0001100]; negative regulation of septum digestion after cytokinesis [GO:2001042]; protein-containing complex disassembly [GO:0032984]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]
P38286,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ketoreductase activity [GO:0045703]; very-long-chain 3-oxoacyl-CoA reductase activity [GO:0141040]; fatty acid elongation [GO:0030497]; sphingolipid biosynthetic process [GO:0030148]; very long-chain fatty acid biosynthetic process [GO:0042761]
P38287,fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; mannosyltransferase complex [GO:0031501]; vacuolar membrane [GO:0005774]; inositol phosphorylceramide mannosyltransferase activity [GO:0103064]; mannosyltransferase activity [GO:0000030]; glycosphingolipid biosynthetic process [GO:0006688]; mannosyl diphosphorylinositol ceramide metabolic process [GO:0006676]; mannosyl-inositol phosphorylceramide biosynthetic process [GO:0051999]; sphingolipid biosynthetic process [GO:0030148]
P38289,"mitochondrion [GO:0005739]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; single-stranded DNA 5'-3' DNA exonuclease activity [GO:0045145]; interstrand cross-link repair [GO:0036297]; mitochondrial genome maintenance [GO:0000002]"
P38291,"nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]; telomerase holoenzyme complex [GO:0005697]; ribonuclease P activity [GO:0004526]; RNA binding [GO:0003723]; intronic box C/D RNA processing [GO:0034965]; maturation of 5.8S rRNA [GO:0000460]; nuclear-transcribed mRNA catabolic process, RNase MRP-dependent [GO:0000294]; rRNA processing [GO:0006364]; tRNA 5'-leader removal [GO:0001682]; tRNA processing [GO:0008033]"
P38295,lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; acetylesterase activity [GO:0008126]; acylglycerol lipase activity [GO:0047372]; alcohol O-acetyltransferase activity [GO:0004026]; alcohol O-butanoyltransferase activity [GO:0034319]; serine hydrolase activity [GO:0017171]; short-chain carboxylesterase activity [GO:0034338]; cellular lipid metabolic process [GO:0044255]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793]
P38297,mitochondrial membrane [GO:0031966]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitochondrial fusion [GO:0008053]; mitochondrial inner membrane fusion [GO:1990627]; mitochondrial outer membrane fusion [GO:1990626]
P38298,cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; phytoceramidase activity [GO:0070774]; sphingosine N-acyltransferase activity [GO:0050291]; ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]
P38301,cis-Golgi network [GO:0005801]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; calcium ion transmembrane transporter activity [GO:0015085]; calcium:proton antiporter activity [GO:0015369]; manganese ion transmembrane transporter activity [GO:0005384]; manganese:proton antiporter activity [GO:0010486]; calcium ion transmembrane transport [GO:0070588]; Golgi calcium ion homeostasis [GO:0032468]; Golgi calcium ion transport [GO:0032472]; intracellular calcium ion homeostasis [GO:0006874]; intracellular manganese ion homeostasis [GO:0030026]; manganese ion transmembrane transport [GO:0071421]
P38304,core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleus [GO:0005634]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; TBP-class protein binding [GO:0017025]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]
P38307,"endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase complex [GO:0000836]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; misfolded protein binding [GO:0051787]; ubiquitin-specific protease binding [GO:1990381]; endoplasmic reticulum unfolded protein response [GO:0030968]; misfolded protein transport [GO:0070843]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent ERAD pathway [GO:0030433]"
P38310,endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; high-affinity iron exporter complex [GO:0061841]; high-affinity iron permease complex [GO:0033573]; plasma membrane [GO:0005886]; ferrous iron transmembrane transporter activity [GO:0015093]; iron ion transmembrane transporter activity [GO:0005381]; endocytosis [GO:0006897]; intracellular iron ion homeostasis [GO:0006879]; iron ion transmembrane transport [GO:0034755]
P38313,COMA complex [GO:0000817]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; nucleus [GO:0005634]; spindle pole body [GO:0005816]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; protein localization to kinetochore [GO:0034501]
P38316,Atg12-Atg5-Atg16 complex [GO:0034274]; cytosol [GO:0005829]; phagophore assembly site membrane [GO:0034045]; transferase complex [GO:1990234]; enzyme activator activity [GO:0008047]; protein tag activity [GO:0031386]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; C-terminal protein lipidation [GO:0006501]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; nucleophagy [GO:0044804]; piecemeal microautophagy of the nucleus [GO:0034727]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein transport [GO:0015031]
P38319,mitochondrion [GO:0005739]; nucleus [GO:0005634]; 3'-tyrosyl-DNA phosphodiesterase activity [GO:0017005]; 5'-tyrosyl-DNA phosphodiesterase activity [GO:0070260]; double-stranded DNA binding [GO:0003690]; exonuclease activity [GO:0004527]; single-stranded DNA binding [GO:0003697]; DNA repair [GO:0006281]
P38323,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; positive regulation of protein-pyridoxal-5-phosphate linkage [GO:1904287]; protein import into mitochondrial matrix [GO:0030150]; protein refolding [GO:0042026]; proteolysis involved in protein catabolic process [GO:0051603]
P38324,nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; Slx1-Slx4 complex [GO:0033557]; 5'-flap endonuclease activity [GO:0017108]; crossover junction DNA endonuclease activity [GO:0008821]; metal ion binding [GO:0046872]; DNA-templated DNA replication [GO:0006261]; double-strand break repair via homologous recombination [GO:0000724]; regulation of DNA damage checkpoint [GO:2000001]; regulation of replication fork arrest at rDNA repeats [GO:1902681]
P38328,actin cortical patch [GO:0030479]; actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; actin filament binding [GO:0051015]; ubiquitin binding [GO:0043130]; actin cortical patch organization [GO:0044396]; actin nucleation [GO:0045010]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]
P38329,fungal-type vacuole membrane [GO:0000329]; vacuolar membrane [GO:0005774]; vacuole-mitochondrion membrane contact site [GO:1990816]; potassium:chloride symporter activity [GO:0015379]; calcium ion transport [GO:0006816]; cell volume homeostasis [GO:0006884]; chloride ion homeostasis [GO:0055064]; chloride transmembrane transport [GO:1902476]; potassium ion homeostasis [GO:0055075]; vacuolar transmembrane transport [GO:0034486]
P38332,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; diphthine methylesterase activity [GO:0061685]; protein methylesterase activity [GO:0051723]; endocytic recycling [GO:0032456]; protein histidyl modification to diphthamide [GO:0017183]
P38333,"90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]; snoRNA binding [GO:0030515]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; maturation of SSU-rRNA [GO:0030490]; poly(A)+ mRNA export from nucleus [GO:0016973]; rRNA processing [GO:0006364]"
P38334,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]; TRAPP complex [GO:0030008]; TRAPPI protein complex [GO:1990070]; TRAPPII protein complex [GO:1990071]; TRAPPIII protein complex [GO:1990072]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; macroautophagy [GO:0016236]; protein-containing complex assembly [GO:0065003]; retrograde transport, endosome to Golgi [GO:0042147]"
P38336,"nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]; ribonuclease P complex [GO:0030677]; ribonuclease P RNA binding [GO:0033204]; RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]; intronic box C/D RNA processing [GO:0034965]; maturation of 5.8S rRNA [GO:0000460]; nuclear-transcribed mRNA catabolic process, RNase MRP-dependent [GO:0000294]; rRNA processing [GO:0006364]; tRNA 5'-leader removal [GO:0001682]; tRNA processing [GO:0008033]"
P38339,"actin cortical patch [GO:0030479]; cellular bud [GO:0005933]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; prospore membrane [GO:0005628]; GTPase activator activity [GO:0005096]; identical protein binding [GO:0042802]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; response to acidic pH [GO:0010447]; response to osmotic stress [GO:0006970]; signal transduction [GO:0007165]"
P38340,cytoplasm [GO:0005737]; cytosol [GO:0005829]; N-terminal protein N-methyltransferase activity [GO:0071885]; cytoplasmic translation [GO:0002181]; N-terminal peptidyl-proline dimethylation [GO:0018016]
P38341,MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; cristae formation [GO:0042407]; protein-containing complex assembly [GO:0065003]
P38342,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; 3-dehydrosphinganine reductase activity [GO:0047560]; 3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148]
P38344,"cytoplasm [GO:0005737]; preribosome, large subunit precursor [GO:0030687]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; budding cell bud growth [GO:0007117]; mitotic cell cycle [GO:0000278]; nucleocytoplasmic transport [GO:0006913]; ribosomal large subunit biogenesis [GO:0042273]"
P38345,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; enzyme activator activity [GO:0008047]; protein folding chaperone [GO:0044183]; cellular respiration [GO:0045333]; cellular response to reactive oxygen species [GO:0034614]; mitochondrial respiratory chain complex II assembly [GO:0034553]; positive regulation of succinate dehydrogenase activity [GO:1904231]
P38348,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; mismatch repair [GO:0006298]; proteasome regulatory particle assembly [GO:0070682]
P38351,Cdc73/Paf1 complex [GO:0016593]; euchromatin [GO:0000791]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269]; RNA polymerase II complex binding [GO:0000993]; DNA-templated transcription termination [GO:0006353]; global genome nucleotide-excision repair [GO:0070911]; mRNA 3'-end processing [GO:0031124]; negative regulation of DNA recombination [GO:0045910]; negative regulation of mitophagy [GO:1901525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription elongation by RNA polymerase I [GO:2001209]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; rDNA heterochromatin formation [GO:0000183]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]; rRNA processing [GO:0006364]; sno(s)RNA 3'-end processing [GO:0031126]; snoRNA transcription by RNA polymerase II [GO:0001015]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase III [GO:0006383]; transcription elongation by RNA polymerase I [GO:0006362]; transcription elongation by RNA polymerase II [GO:0006368]
P38352,cytoplasm [GO:0005737]; SCF ubiquitin ligase complex [GO:0019005]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
P38353,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Sec61 translocon complex [GO:0005784]; Ssh1 translocon complex [GO:0071261]; protein transmembrane transporter activity [GO:0008320]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]; post-translational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]"
P38356,endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]; metal ion transport [GO:0030001]; positive regulation of protein ubiquitination [GO:0031398]; protein targeting to vacuole [GO:0006623]; ubiquitin-dependent protein catabolic process [GO:0006511]; vacuolar transport [GO:0007034]
P38360,plasma membrane [GO:0005886]; proteasome core complex [GO:0005839]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type cadmium transporter activity [GO:0008551]; proteasome binding [GO:0070628]; cadmium ion transport [GO:0015691]; intracellular monoatomic cation homeostasis [GO:0030003]; response to cadmium ion [GO:0046686]; transmembrane transport [GO:0055085]
P38361,endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; sodium:inorganic phosphate symporter activity [GO:0015319]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; transmembrane transport [GO:0055085]
P38426,"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytoplasm [GO:0005737]; catalytic activity [GO:0003824]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]"
P38427,"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytoplasm [GO:0005737]; catalytic activity [GO:0003824]; enzyme regulator activity [GO:0030234]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]"
P38428,CUE1-UBC7 ubiquitin-conjugating enzyme complex [GO:1990389]; Doa10p ubiquitin ligase complex [GO:0000837]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; mitochondrion [GO:0005739]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activator activity [GO:0097027]; establishment of protein localization to endoplasmic reticulum membrane [GO:0097051]; ubiquitin-dependent ERAD pathway [GO:0030433]
P38429,histone deacetylase complex [GO:0000118]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; negative regulation of rDNA heterochromatin formation [GO:0061188]; negative regulation of silent mating-type cassette heterochromatin formation [GO:0061186]; negative regulation of transcription by RNA polymerase I [GO:0016479]; nucleosome assembly [GO:0006334]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]
P38431,cytosol [GO:0005829]; eukaryotic 48S preinitiation complex [GO:0033290]; multi-eIF complex [GO:0043614]; eukaryotic initiation factor eIF2 binding [GO:0071074]; GDP-dissociation inhibitor activity [GO:0005092]; GTP binding [GO:0005525]; GTPase activator activity [GO:0005096]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; cytosolic ribosome assembly [GO:0042256]; formation of cytoplasmic translation initiation complex [GO:0001732]; formation of translation preinitiation complex [GO:0001731]; negative regulation of translational initiation [GO:0045947]; regulation of translational initiation [GO:0006446]
P38439,Cdc73/Paf1 complex [GO:0016593]; nucleus [GO:0005634]; RNA binding [GO:0003723]; RNA polymerase II C-terminal domain phosphoserine binding [GO:1990269]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coregulator activity [GO:0003712]; chromatin organization [GO:0006325]; DNA-templated transcription termination [GO:0006353]; positive regulation of transcription elongation by RNA polymerase I [GO:2001209]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]; transcription elongation by RNA polymerase II [GO:0006368]
P38523,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; PAM complex, Tim23 associated import motor [GO:0001405]; TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; intracellular protein transport [GO:0006886]; protein import into mitochondrial matrix [GO:0030150]; protein refolding [GO:0042026]"
